ci95_high,ci95_low,direction,layer,mask_condition,mean,metric,n,pack,position_group,positive_frac,prompt_runs,rank_mean,scale,stage
0.3125,-1.3125,corrupt,0,answer_mask,-0.375,hidden_target_logit_effect,4,primary,answer_adjacent,0.25,4,0.0,1.0,hidden_lattice
0.25,-0.5,corrupt,0,shifted_mask,-0.125,hidden_target_logit_effect,4,primary,answer_adjacent,0.5,4,0.0,1.0,hidden_lattice
0.375,0.0,corrupt,0,shuffled_mask,0.1875,hidden_target_logit_effect,4,primary,answer_adjacent,0.5,4,0.0,1.0,hidden_lattice
0.375,-0.75,corrupt,0,union_mask,-0.125,hidden_target_logit_effect,4,primary,answer_adjacent,0.25,4,-0.25,1.0,hidden_lattice
-1.0,-4.9375,corrupt,0,answer_mask,-2.5625,hidden_target_logit_effect,4,primary,top_hidden_delta,0.0,4,0.25,1.0,hidden_lattice
-0.625,-7.375,corrupt,0,shifted_mask,-4.0,hidden_target_logit_effect,4,primary,top_hidden_delta,0.0,4,-2.0,1.0,hidden_lattice
1.875,-0.375,corrupt,0,shuffled_mask,0.75,hidden_target_logit_effect,4,primary,top_hidden_delta,0.5,4,0.75,1.0,hidden_lattice
0.3125,-1.75,corrupt,0,union_mask,-0.8125,hidden_target_logit_effect,4,primary,top_hidden_delta,0.25,4,-0.5,1.0,hidden_lattice
11.5,-5.875,corrupt,0,answer_mask,2.8125,hidden_target_logit_effect,4,primary,visual+answer,0.5,4,5.25,1.0,hidden_lattice
-2.125,-7.125,corrupt,0,shifted_mask,-4.625,hidden_target_logit_effect,4,primary,visual+answer,0.0,4,-2.5,1.0,hidden_lattice
0.5625,-4.0625,corrupt,0,shuffled_mask,-1.625,hidden_target_logit_effect,4,primary,visual+answer,0.25,4,-0.25,1.0,hidden_lattice
11.5,-4.125,corrupt,0,union_mask,3.6875,hidden_target_logit_effect,4,primary,visual+answer,0.5,4,5.0,1.0,hidden_lattice
11.75,-5.875,corrupt,0,answer_mask,2.9375,hidden_target_logit_effect,4,primary,visual_span,0.5,4,5.75,1.0,hidden_lattice
-1.5,-7.0,corrupt,0,shifted_mask,-4.25,hidden_target_logit_effect,4,primary,visual_span,0.0,4,-2.5,1.0,hidden_lattice
-0.125,-4.0,corrupt,0,shuffled_mask,-1.875,hidden_target_logit_effect,4,primary,visual_span,0.25,4,-0.5,1.0,hidden_lattice
11.75,-3.75,corrupt,0,union_mask,4.0,hidden_target_logit_effect,4,primary,visual_span,0.5,4,5.5,1.0,hidden_lattice
0.125,-0.75,restore,0,answer_mask,-0.25,hidden_target_logit_effect,4,primary,answer_adjacent,0.25,4,0.0,1.0,hidden_lattice
0.25,-0.875,restore,0,shifted_mask,-0.3125,hidden_target_logit_effect,4,primary,answer_adjacent,0.25,4,0.0,1.0,hidden_lattice
0.3125,-0.625,restore,0,shuffled_mask,-0.1875,hidden_target_logit_effect,4,primary,answer_adjacent,0.25,4,-0.25,1.0,hidden_lattice
0.1875,-0.375,restore,0,union_mask,-0.0625,hidden_target_logit_effect,4,primary,answer_adjacent,0.25,4,0.0,1.0,hidden_lattice
12.75,-4.5,restore,0,answer_mask,4.125,hidden_target_logit_effect,4,primary,top_hidden_delta,0.5,4,4.75,1.0,hidden_lattice
-0.5,-1.25,restore,0,shifted_mask,-0.8125,hidden_target_logit_effect,4,primary,top_hidden_delta,0.0,4,-0.5,1.0,hidden_lattice
2.375,-0.875,restore,0,shuffled_mask,0.75,hidden_target_logit_effect,4,primary,top_hidden_delta,0.75,4,0.25,1.0,hidden_lattice
12.75,-7.0,restore,0,union_mask,2.875,hidden_target_logit_effect,4,primary,top_hidden_delta,0.5,4,3.25,1.0,hidden_lattice
11.125,-5.625,restore,0,answer_mask,2.75,hidden_target_logit_effect,4,primary,visual+answer,0.5,4,4.0,1.0,hidden_lattice
-2.25,-7.0,restore,0,shifted_mask,-4.625,hidden_target_logit_effect,4,primary,visual+answer,0.0,4,-2.5,1.0,hidden_lattice
1.8125,-3.6875,restore,0,shuffled_mask,-1.375,hidden_target_logit_effect,4,primary,visual+answer,0.25,4,-0.25,1.0,hidden_lattice
11.125,-5.0,restore,0,union_mask,3.0625,hidden_target_logit_effect,4,primary,visual+answer,0.5,4,3.5,1.0,hidden_lattice
11.25,-6.375,restore,0,answer_mask,2.4375,hidden_target_logit_effect,4,primary,visual_span,0.5,4,4.0,1.0,hidden_lattice
-2.125,-7.875,restore,0,shifted_mask,-5.0,hidden_target_logit_effect,4,primary,visual_span,0.0,4,-2.5,1.0,hidden_lattice
1.8125,-3.875,restore,0,shuffled_mask,-1.5625,hidden_target_logit_effect,4,primary,visual_span,0.25,4,0.0,1.0,hidden_lattice
