model_family,mask_condition,position_group,direction,feature_group,n_rows,positive_logit_n,positive_rank_n,mean_logit_effect,ci95_low,ci95_high,effect_status,mean_rank_effect,mean_gap_closure
qwen,answer_mask,answer_adjacent_text,corrupt,activation_matched_topk,24,11,2,0.013021,-0.044271,0.067708,weak_or_heterogeneous_positive,0.041667,0.005049
qwen,answer_mask,answer_adjacent_text,corrupt,attribution_matched_mask_insensitive_topk,24,0,0,-0.304688,-0.388021,-0.226562,not_positive,-0.791667,-0.047371
qwen,answer_mask,answer_adjacent_text,corrupt,drop_matched_topk,24,15,5,0.080729,-0.033854,0.177083,weak_or_heterogeneous_positive,0.25,0.018685
qwen,answer_mask,answer_adjacent_text,corrupt,evidence_attribution_topk,24,24,13,1.263021,0.856771,1.770833,stable_positive,2.333333,0.202348
qwen,answer_mask,answer_adjacent_text,corrupt,random_active_topk,24,11,0,0.046875,-0.010417,0.104167,weak_or_heterogeneous_positive,-0.166667,0.006792
qwen,answer_mask,answer_adjacent_text,restore,activation_matched_topk,24,11,9,-0.015625,-0.085938,0.045573,not_positive,31.875,-0.004587
qwen,answer_mask,answer_adjacent_text,restore,attribution_matched_mask_insensitive_topk,24,0,0,-0.485026,-0.578125,-0.394531,not_positive,-634.166667,-0.08071
qwen,answer_mask,answer_adjacent_text,restore,drop_matched_topk,24,14,13,0.061198,-0.05599,0.161458,weak_or_heterogeneous_positive,187.125,0.014169
qwen,answer_mask,answer_adjacent_text,restore,evidence_attribution_topk,24,24,24,1.91276,1.488281,2.424479,stable_positive,1225.083333,0.3026
qwen,answer_mask,answer_adjacent_text,restore,random_active_topk,24,13,11,0.037109,-0.007812,0.083984,weak_or_heterogeneous_positive,48.0,0.005496
qwen,answer_mask,top_hidden_delta,corrupt,activation_matched_topk,24,3,0,-0.010417,-0.03125,0.010417,not_positive,-0.125,-0.002888
qwen,answer_mask,top_hidden_delta,corrupt,attribution_matched_mask_insensitive_topk,24,3,0,-0.002604,-0.026042,0.018229,not_positive,-0.041667,-0.001694
qwen,answer_mask,top_hidden_delta,corrupt,drop_matched_topk,24,1,0,-0.005208,-0.020833,0.010417,not_positive,-0.125,-0.002157
qwen,answer_mask,top_hidden_delta,corrupt,evidence_attribution_topk,24,0,1,-0.020833,-0.039062,-0.007812,not_positive,-0.041667,-0.004271
qwen,answer_mask,top_hidden_delta,corrupt,random_active_topk,24,0,0,-0.018229,-0.036458,-0.002604,not_positive,-0.125,-0.002651
qwen,answer_mask,top_hidden_delta,restore,activation_matched_topk,24,4,4,-0.001302,-0.013021,0.010417,not_positive,-11.375,-0.001175
