pack,comparison,mask_condition,mask_variant,intervention,n,mean,ci_low,ci_high,positive_frac
primary,source_minus_control,answer_mask,mask_shifted,restore,122,0.005763319672131148,-0.008584144467213116,0.020876024590163935,0.22950819672131148
primary,source_minus_control,answer_mask,mask_shuffled,restore,122,0.009181288422131147,-0.005972840356045082,0.023037269467213115,0.27049180327868855
primary,source_minus_control,answer_mask,real_mask,restore,122,0.03354732325819672,0.00946625256147541,0.06165651415215161,0.4098360655737705
primary,source_minus_control,answer_mask,real_mask,zeroing,122,0.18570696721311475,0.15881147540983606,0.21517033811475406,0.9344262295081968
primary,source_minus_control,union_mask,mask_shifted,restore,120,0.004557291666666667,-0.007682291666666666,0.016666666666666666,0.20833333333333334
primary,source_minus_control,union_mask,mask_shuffled,restore,120,0.0054931640625,-0.0069671630859375,0.016848144531249987,0.225
primary,source_minus_control,union_mask,real_mask,restore,120,0.019482421875,-0.0053397623697916665,0.04765747070312499,0.3416666666666667
primary,source_minus_control,union_mask,real_mask,zeroing,120,0.20481770833333332,0.16158528645833334,0.2613411458333333,0.9333333333333333
primary,source_control_real_minus_mask_shifted,answer_mask,real_vs_mask_shifted,restore,122,0.027784003586065573,0.0036402968109631147,0.0560242699795082,0.4180327868852459
primary,source_control_real_minus_mask_shifted,union_mask,real_vs_mask_shifted,restore,120,0.014925130208333333,-0.0097021484375,0.04450276692708331,0.3333333333333333
primary,source_control_real_minus_mask_shuffled,answer_mask,real_vs_mask_shuffled,restore,122,0.024366034836065573,-0.0003554047131147539,0.05267113857581967,0.39344262295081966
primary,source_control_real_minus_mask_shuffled,union_mask,real_vs_mask_shuffled,restore,120,0.0139892578125,-0.010515950520833334,0.041585896809895787,0.3333333333333333
strict,source_minus_control,answer_mask,mask_shifted,restore,121,0.008910123966942149,-0.004910253099173554,0.02402182334710742,0.2644628099173554
strict,source_minus_control,answer_mask,mask_shuffled,restore,121,0.012356340392561983,-0.0019454577737603306,0.027151262267561975,0.2975206611570248
strict,source_minus_control,answer_mask,real_mask,restore,121,0.035761557334710745,0.012169703964359504,0.06248547262396693,0.4214876033057851
strict,source_minus_control,answer_mask,real_mask,zeroing,121,0.18491735537190082,0.1577995867768595,0.21488248966942144,0.9256198347107438
strict,source_minus_control,union_mask,mask_shifted,restore,120,0.005859375,-0.00625,0.018362630208333317,0.225
strict,source_minus_control,union_mask,mask_shuffled,restore,120,0.0054931640625,-0.006185302734374999,0.016985066731770828,0.23333333333333334
strict,source_minus_control,union_mask,real_mask,restore,120,0.022086588541666667,-0.0018562825520833332,0.04964436848958332,0.35833333333333334
strict,source_minus_control,union_mask,real_mask,zeroing,120,0.198828125,0.15572591145833334,0.256123046875,0.925
strict,source_control_real_minus_mask_shifted,answer_mask,real_vs_mask_shifted,restore,121,0.026851433367768594,0.002831224173553719,0.05532650277634297,0.4132231404958678
strict,source_control_real_minus_mask_shifted,union_mask,real_vs_mask_shifted,restore,120,0.016227213541666667,-0.009119059244791667,0.045153808593749976,0.35833333333333334
strict,source_control_real_minus_mask_shuffled,answer_mask,real_vs_mask_shuffled,restore,121,0.02340521694214876,-0.0017110020661157024,0.05117429622933881,0.38016528925619836
strict,source_control_real_minus_mask_shuffled,union_mask,real_vs_mask_shuffled,restore,120,0.016593424479166667,-0.0063323974609375,0.043563435872395785,0.35833333333333334
