sample_id,image_filename,width,height,labels,invalid_labels,answer_shape_count,relate_shape_count,answer_area_px,relate_area_px,union_area_px,answer_area_frac,relate_area_frac,union_area_frac,mask_geometry_tier,mask_geometry_warnings,mask_export_status,shifted_mask_iou_with_union,shuffled_mask_iou_with_union,random16_valid_count,mask_dir
okvqa_val_1839495,COCO_val2014_000000183949.jpg,640,426,answer|relate,,1,1,213360,26460,213360,0.78257042,0.09705106,0.78257042,very_broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.68672,0.70054,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000183949
okvqa_val_2078985,COCO_val2014_000000207898.jpg,640,480,answer|relate,,1,1,27161,42303,68629,0.08841471,0.13770508,0.22340169,medium_union,,ok,0.0421228,0.0866412,16,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000207898
okvqa_val_4075245,COCO_val2014_000000407524.jpg,640,480,answer|answer|answer|answer|relate,,4,1,161509,58240,203522,0.52574544,0.18958333,0.66250651,broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.969803,0.449272,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000407524
okvqa_val_4999035,COCO_val2014_000000499903.jpg,640,480,answer|relate,,1,1,73120,58917,132037,0.23802083,0.19178711,0.42980794,medium_union,random16_low_valid_count,ok,0.196773,0.194559,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000499903
okvqa_val_527125,COCO_val2014_000000052712.jpg,640,478,answer|relate,,1,1,192240,12702,194328,0.62839958,0.04152066,0.63522490,broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.501774,0.502598,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000052712
okvqa_val_5665385,COCO_val2014_000000566538.jpg,640,400,answer|answer|relate,,2,1,109925,4366,113477,0.42939453,0.01705469,0.44326953,medium_union,random16_low_valid_count,ok,0.418525,0.27584,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000566538
okvqa_val_5734555,COCO_val2014_000000573455.jpg,640,383,answer|answer|relate,,2,1,155815,24898,180713,0.63566824,0.10157474,0.73724298,broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.837812,0.651976,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000573455
okvqa_val_5738235,COCO_val2014_000000573823.jpg,640,427,answer|relate,,1,1,120428,40296,160724,0.44067623,0.14745316,0.58812939,broad_union,union_area_gt_50pct|random16_low_valid_count,ok,0.683697,0.414544,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000573823
okvqa_val_5759705,COCO_val2014_000000575970.jpg,640,480,answer|relate,,1,1,143260,42840,180409,0.46634115,0.13945313,0.58726888,broad_union,union_area_gt_50pct|random16_low_valid_count,ok,0.492365,0.468704,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000575970
okvqa_val_657365,COCO_val2014_000000065736.jpg,640,427,answer|relate,,1,1,14231,35310,49541,0.05207480,0.12920814,0.18128293,compact_union,,ok,0.0051127,0,16,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000065736
okvqa_val_03909,COCO_val2014_000000303024.jpg,640,480,answer|relate,,1,1,79189,28520,107709,0.25777669,0.09283854,0.35061523,medium_union,random16_low_valid_count,ok,0.18888,0.125251,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000303024
okvqa_val_1440035,COCO_val2014_000000144003.jpg,500,375,answer|relate,,1,1,13860,35742,49602,0.07392000,0.19062400,0.26454400,medium_union,,ok,0.0918096,0.0847895,16,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000144003
okvqa_val_1499095,COCO_val2014_000000149909.jpg,640,427,answer|relate,,1,1,55760,28375,84135,0.20403981,0.10383124,0.30787105,medium_union,random16_low_valid_count,ok,0.10002,0.183042,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000149909
okvqa_val_1944205,COCO_val2014_000000194420.jpg,500,375,answer|relate,,1,1,129000,17731,131856,0.68800000,0.09456533,0.70323200,broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.613776,0.629381,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000194420
okvqa_val_216885,COCO_val2014_000000021688.jpg,640,426,answer|relate,,1,1,208917,10835,219752,0.76627421,0.03974105,0.80601526,very_broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.80008,0.682782,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000021688
okvqa_val_2288675,COCO_val2014_000000228867.jpg,640,428,answer|relate,,1,1,160190,36540,175067,0.58480578,0.13339661,0.63911726,broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.430093,0.453997,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000228867
okvqa_val_2489535,COCO_val2014_000000248953.jpg,500,375,answer|relate,,1,1,58017,26082,84099,0.30942400,0.13910400,0.44852800,medium_union,random16_low_valid_count,ok,0.302084,0.285151,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000248953
okvqa_val_2494045,COCO_val2014_000000249404.jpg,640,640,answer|relate,,1,1,31080,69357,100437,0.07587891,0.16932861,0.24520752,medium_union,,ok,0.142284,0.0997153,9,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000249404
okvqa_val_2615045,COCO_val2014_000000261504.jpg,640,480,answer|relate,,1,1,230758,25754,230758,0.75116536,0.08383464,0.75116536,very_broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.5381,0.54677,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000261504
okvqa_val_2934745,COCO_val2014_000000293474.jpg,500,333,answer|relate,,1,1,15015,34342,49357,0.09018018,0.20625826,0.29643844,medium_union,,ok,0.0840545,0.0597089,16,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000293474
okvqa_val_4059455,COCO_val2014_000000405945.jpg,500,324,answer|relate,,1,1,59048,43360,88648,0.36449383,0.26765432,0.54720988,broad_union,union_area_gt_50pct|random16_low_valid_count,ok,0.770623,0.314482,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000405945
okvqa_val_4417365,COCO_val2014_000000441736.jpg,640,489,answer|relate,,1,1,91053,23562,91886,0.29094133,0.07528758,0.29360302,medium_union,,ok,0,0.0575528,16,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000441736
okvqa_val_4448885,COCO_val2014_000000444888.jpg,500,375,answer|relate,,1,1,129108,30609,129108,0.68857600,0.16324800,0.68857600,broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.540852,0.553506,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000444888
okvqa_val_4987585,COCO_val2014_000000498758.jpg,500,405,answer|relate,,1,1,51430,30576,82006,0.25397531,0.15099259,0.40496790,medium_union,random16_low_valid_count,ok,0.251943,0.2906,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000498758
okvqa_val_5241085,COCO_val2014_000000524108.jpg,640,400,answer|relate,,1,1,242347,28392,242347,0.94666797,0.11090625,0.94666797,very_broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.918805,0.921681,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000524108
okvqa_val_5252115,COCO_val2014_000000525211.jpg,640,338,answer|answer|answer|relate,,3,1,96195,21063,111063,0.44468842,0.09736964,0.51341993,broad_union,union_area_gt_50pct|random16_low_valid_count,ok,0.49603,0.435034,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000525211
okvqa_val_5469875,COCO_val2014_000000546987.jpg,500,375,answer|relate,,1,1,22464,33892,56356,0.11980800,0.18075733,0.30056533,medium_union,,ok,0.135294,0.119719,10,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000546987
okvqa_val_5561315,COCO_val2014_000000556131.jpg,640,425,answer|relate,,1,1,85100,40633,125733,0.31286765,0.14938603,0.46225368,medium_union,random16_low_valid_count,ok,0.655351,0.229705,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000556131
okvqa_val_5668235,COCO_val2014_000000566823.jpg,640,427,answer|relate,,1,1,62505,18634,74841,0.22872146,0.06818648,0.27386197,medium_union,,ok,0,0,16,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000566823
okvqa_val_5807575,COCO_val2014_000000580757.jpg,640,425,answer|relate,,1,1,79920,72750,152670,0.29382353,0.26746324,0.56128676,broad_union,union_area_gt_50pct|random16_low_valid_count,ok,0.420616,0.432391,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000580757
okvqa_val_00756,COCO_val2014_000000036528.jpg,640,483,answer|relate,,1,1,216216,39884,248326,0.69945652,0.12902433,0.80333204,very_broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.823593,0.720591,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000036528
okvqa_val_02733,COCO_val2014_000000403919.jpg,640,480,answer|relate,,1,1,54280,13500,65780,0.17669271,0.04394531,0.21412760,medium_union,,ok,0.00903499,0.0305822,16,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000403919
okvqa_val_03166,COCO_val2014_000000173142.jpg,640,480,answer|relate,,1,1,53536,92701,146237,0.17427083,0.30176107,0.47603190,medium_union,random16_low_valid_count,ok,0.322825,0.322496,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000173142
okvqa_val_1271205,COCO_val2014_000000127120.jpg,640,429,answer|answer|relate,,2,1,93010,74973,167983,0.33876020,0.27306600,0.61182619,broad_union,union_area_gt_50pct|random16_low_valid_count,ok,0.573803,0.507493,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000127120
okvqa_val_147735,COCO_val2014_000000014773.jpg,640,427,answer|relate,,1,1,100890,109020,173094,0.36918179,0.39893150,0.63339432,broad_union,union_area_gt_50pct|random16_low_valid_count,ok,0.51729,0.516227,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000014773
okvqa_val_1524995,COCO_val2014_000000152499.jpg,640,480,answer|relate,,1,1,205884,51027,223825,0.67019531,0.16610352,0.72859701,broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.671764,0.591181,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000152499
okvqa_val_1999595,COCO_val2014_000000199959.jpg,640,379,answer|relate,,1,1,125000,53301,176345,0.51533641,0.21974357,0.72701600,broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.713352,0.671247,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000199959
okvqa_val_2100995,COCO_val2014_000000210099.jpg,640,538,answer|relate,,1,1,286560,60726,286560,0.83224907,0.17636501,0.83224907,very_broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.751718,0.7587,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000210099
okvqa_val_2366045,COCO_val2014_000000236604.jpg,640,621,answer|relate,,1,1,173290,56115,173290,0.43601550,0.14119112,0.43601550,medium_union,,ok,0.0493139,0.0808333,15,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000236604
okvqa_val_2621615,COCO_val2014_000000262161.jpg,640,428,answer|relate,,1,1,190080,31488,207792,0.69392523,0.11495327,0.75858645,very_broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.739558,0.748973,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000262161
okvqa_val_3359765,COCO_val2014_000000335976.jpg,640,427,answer|relate,,1,1,159720,20564,174658,0.58445550,0.07524883,0.63911739,broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.500086,0.534983,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000335976
okvqa_val_3441005,COCO_val2014_000000344100.jpg,640,427,answer|relate,,1,1,24708,72541,97249,0.09041276,0.26544570,0.35585846,medium_union,random16_low_valid_count,ok,0.246383,0.19085,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000344100
okvqa_val_3563585,COCO_val2014_000000356358.jpg,640,480,answer|answer|relate,,2,1,78140,34532,110076,0.25436198,0.11240885,0.35832031,medium_union,random16_low_valid_count,ok,0.310959,0.262651,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000356358
okvqa_val_3713305,COCO_val2014_000000371330.jpg,640,427,answer|relate,,1,1,32661,24231,56892,0.11951478,0.08866730,0.20818208,medium_union,,ok,0.00434276,0.0108742,16,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000371330
okvqa_val_3906275,COCO_val2014_000000390627.jpg,640,480,answer|relate,,1,1,202125,29746,217171,0.65795898,0.09682943,0.70693685,broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.780652,0.630652,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000390627
okvqa_val_3955315,COCO_val2014_000000395531.jpg,500,375,answer|relate,,1,1,37052,77203,114255,0.19761067,0.41174933,0.60936000,broad_union,union_area_gt_50pct|random16_low_valid_count,ok,0.567983,0.579198,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000395531
okvqa_val_4469905,COCO_val2014_000000446990.jpg,640,427,answer|relate,,1,1,42768,33600,76368,0.15649883,0.12295082,0.27944965,medium_union,,ok,0.279228,0.0730892,16,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000446990
okvqa_val_4646825,COCO_val2014_000000464682.jpg,640,426,answer|relate,,1,1,175770,25872,192234,0.64469630,0.09489437,0.70508363,broad_union,answer_area_gt_50pct|union_area_gt_50pct|random16_low_valid_count,ok,0.620498,0.631888,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000464682
okvqa_val_4837235,COCO_val2014_000000483723.jpg,640,427,answer|relate,,1,1,63900,77275,135950,0.23382611,0.28276859,0.49747512,medium_union,random16_low_valid_count,ok,0.320262,0.336755,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000483723
okvqa_val_4943285,COCO_val2014_000000494328.jpg,500,333,answer|relate,,1,1,26598,26622,53220,0.15974775,0.15989189,0.31963964,medium_union,random16_low_valid_count,ok,0.126731,0.155073,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000494328
okvqa_val_5172965,COCO_val2014_000000517296.jpg,640,480,answer|relate,,1,1,34182,94380,128562,0.11126953,0.30722656,0.41849609,medium_union,random16_low_valid_count,ok,0.287281,0.236774,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000517296
okvqa_val_5186155,COCO_val2014_000000518615.jpg,640,427,answer|relate,,1,1,22490,37845,60335,0.08229655,0.13848434,0.22078088,medium_union,,ok,0.000879201,0.0325943,16,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000518615
okvqa_val_5196735,COCO_val2014_000000519673.jpg,640,480,answer|relate,,1,1,101932,60200,150138,0.33180990,0.19596354,0.48873047,medium_union,random16_low_valid_count,ok,0.39367,0.366854,0,E:\Bridging\annotation\stage3_paperpack72_labelme\paperpack81_final_assets\exported_masks\COCO_val2014_000000519673
