model_family,layer,bucket,condition,feature_group,feature_width,scale,n_rows,n_samples,n_prompts,mean_logit_restore,positive_logit_restore_n,positive_logit_restore_frac,mean_rank_restore,positive_rank_restore_n,positive_rank_restore_frac,mean_logit_gap_closure,top1_changed_vs_union_n,top1_changed_vs_union_frac
llava,15,image_token_span,control_topk_restore_s0p5,control,topk,0.5,6,3,2,0.021484,4,0.666667,1.5,2,0.333333,0.005591,0,0.0
llava,15,image_token_span,control_topk_restore_s1p0,control,topk,1.0,6,3,2,0.04362,5,0.833333,4.333333,2,0.333333,0.010199,0,0.0
llava,15,image_token_span,control_topk_restore_s1p5,control,topk,1.5,6,3,2,0.063151,4,0.666667,7.166667,2,0.333333,0.01022,0,0.0
llava,15,image_token_span,evidence_top1_restore_s0p5,evidence,top1,0.5,6,3,2,-0.00651,2,0.333333,0.0,1,0.166667,-0.003082,0,0.0
llava,15,image_token_span,evidence_top1_restore_s1p0,evidence,top1,1.0,6,3,2,-0.014323,2,0.333333,-0.5,1,0.166667,-0.007654,0,0.0
llava,15,image_token_span,evidence_top1_restore_s1p5,evidence,top1,1.5,6,3,2,-0.01888,3,0.5,-0.166667,1,0.166667,-0.010151,0,0.0
llava,15,image_token_span,evidence_topk_restore_s0p5,evidence,topk,0.5,6,3,2,-0.014974,2,0.333333,0.333333,1,0.166667,-0.015522,0,0.0
llava,15,image_token_span,evidence_topk_restore_s1p0,evidence,topk,1.0,6,3,2,-0.03125,2,0.333333,1.166667,2,0.333333,-0.032112,0,0.0
llava,15,image_token_span,evidence_topk_restore_s1p5,evidence,topk,1.5,6,3,2,-0.050781,3,0.5,1.5,2,0.333333,-0.04958,0,0.0
qwen,26,image_marker_or_span,control_topk_restore_s0p5,control,topk,0.5,6,3,2,0.010417,1,0.166667,-0.833333,1,0.166667,0.006667,0,0.0
qwen,26,image_marker_or_span,control_topk_restore_s1p0,control,topk,1.0,6,3,2,0.03125,2,0.333333,1.333333,1,0.166667,0.048333,0,0.0
qwen,26,image_marker_or_span,control_topk_restore_s1p5,control,topk,1.5,6,3,2,0.010417,2,0.333333,1.333333,2,0.333333,0.006537,1,0.166667
qwen,26,image_marker_or_span,evidence_top1_restore_s0p5,evidence,top1,0.5,6,3,2,0.0,0,0.0,-1.833333,0,0.0,0.0,0,0.0
qwen,26,image_marker_or_span,evidence_top1_restore_s1p0,evidence,top1,1.0,6,3,2,0.0,0,0.0,-0.833333,0,0.0,0.0,0,0.0
qwen,26,image_marker_or_span,evidence_top1_restore_s1p5,evidence,top1,1.5,6,3,2,0.005208,1,0.166667,0.0,1,0.166667,0.00049,0,0.0
qwen,26,image_marker_or_span,evidence_topk_restore_s0p5,evidence,topk,0.5,6,3,2,0.005208,1,0.166667,0.833333,1,0.166667,0.00049,0,0.0
qwen,26,image_marker_or_span,evidence_topk_restore_s1p0,evidence,topk,1.0,6,3,2,0.036458,3,0.5,0.333333,1,0.166667,0.070728,0,0.0
qwen,26,image_marker_or_span,evidence_topk_restore_s1p5,evidence,topk,1.5,6,3,2,0.010417,2,0.333333,1.5,1,0.166667,0.031218,0,0.0
