metric,slice,direction,n,mean,positive_frac
feature_evidence_minus_mean_controls,all_primary,corrupt,144,0.04210069444444445,0.5694444444444444
feature_evidence_minus_mean_controls,all_primary,restore,144,0.06903754340277778,0.5486111111111112
feature_evidence_minus_mean_controls,strong_only_exclude_manual_review,corrupt,134,0.043843283582089554,0.5746268656716418
feature_evidence_minus_mean_controls,strong_only_exclude_manual_review,restore,134,0.07627390391791045,0.5671641791044776
feature_evidence_minus_mean_controls,manual_review_only,corrupt,10,0.01875,0.5
feature_evidence_minus_mean_controls,manual_review_only,restore,10,-0.0279296875,0.3
feature_evidence_minus_mean_controls,quota:compact_scene_inference,corrupt,46,0.01579483695652174,0.43478260869565216
feature_evidence_minus_mean_controls,quota:compact_scene_inference,restore,46,0.026154891304347828,0.41304347826086957
feature_evidence_minus_mean_controls,quota:mixed_localized,corrupt,2,-0.234375,0.0
feature_evidence_minus_mean_controls,quota:mixed_localized,restore,2,-0.078125,0.0
feature_evidence_minus_mean_controls,quota:symbol_text_reading,corrupt,8,0.0,0.625
feature_evidence_minus_mean_controls,quota:symbol_text_reading,restore,8,0.052734375,0.75
feature_evidence_minus_mean_controls,quota:visual_readout,corrupt,88,0.06596235795454546,0.6477272727272727
feature_evidence_minus_mean_controls,quota:visual_readout,restore,88,0.09628018465909091,0.6136363636363636
source_minus_control_real_mask,all_primary,answer_mask:restore,122,0.03354732325819672,0.4098360655737705
source_minus_control_real_mask,all_primary,answer_mask:zeroing,122,0.18570696721311475,0.9344262295081968
source_minus_control_real_mask,all_primary,union_mask:restore,120,0.019482421875,0.3416666666666667
source_minus_control_real_mask,all_primary,union_mask:zeroing,120,0.20481770833333332,0.9333333333333333
source_minus_control_real_mask,strong_only_exclude_manual_review,answer_mask:restore,113,0.03746370298672566,0.4336283185840708
source_minus_control_real_mask,strong_only_exclude_manual_review,answer_mask:zeroing,113,0.1875,0.9292035398230089
source_minus_control_real_mask,strong_only_exclude_manual_review,union_mask:restore,112,0.023106166294642856,0.36607142857142855
source_minus_control_real_mask,strong_only_exclude_manual_review,union_mask:zeroing,112,0.20689174107142858,0.9285714285714286
source_minus_control_real_mask,manual_review_only,answer_mask:restore,9,-0.015625,0.1111111111111111
source_minus_control_real_mask,manual_review_only,answer_mask:zeroing,9,0.16319444444444445,1.0
source_minus_control_real_mask,manual_review_only,union_mask:restore,8,-0.03125,0.0
source_minus_control_real_mask,manual_review_only,union_mask:zeroing,8,0.17578125,1.0
source_minus_control_real_mask,quota:compact_scene_inference,answer_mask:restore,42,0.014671688988095238,0.42857142857142855
source_minus_control_real_mask,quota:compact_scene_inference,answer_mask:zeroing,42,0.18080357142857142,0.9761904761904762
source_minus_control_real_mask,quota:compact_scene_inference,union_mask:restore,40,0.011083984375,0.325
source_minus_control_real_mask,quota:compact_scene_inference,union_mask:zeroing,40,0.26484375,0.975
source_minus_control_real_mask,quota:mixed_localized,answer_mask:restore,1,0.125,1.0
source_minus_control_real_mask,quota:mixed_localized,answer_mask:zeroing,1,0.125,1.0
source_minus_control_real_mask,quota:symbol_text_reading,answer_mask:restore,7,0.09821428571428571,0.7142857142857143
source_minus_control_real_mask,quota:symbol_text_reading,answer_mask:zeroing,7,0.3125,1.0
source_minus_control_real_mask,quota:symbol_text_reading,union_mask:restore,7,0.08928571428571429,0.5714285714285714
source_minus_control_real_mask,quota:symbol_text_reading,union_mask:zeroing,7,0.33035714285714285,0.8571428571428571
source_minus_control_real_mask,quota:visual_readout,answer_mask:restore,72,0.03700086805555555,0.3611111111111111
source_minus_control_real_mask,quota:visual_readout,answer_mask:zeroing,72,0.17708333333333334,0.9027777777777778
source_minus_control_real_mask,quota:visual_readout,union_mask:restore,73,0.01739083904109589,0.3287671232876712
source_minus_control_real_mask,quota:visual_readout,union_mask:zeroing,73,0.159888698630137,0.9178082191780822
