model_family,direction,group_name,n_rows,n_samples,mean_correct_effect_logit,mean_wrong_effect_logit,mean_correct_minus_wrong_logit,ci95_low,ci95_high,correct_stronger_n,correct_positive_n,wrong_positive_n,status
llava,corrupt,activation_matched_plus_answer_adjacent,48,24,0.370443,0.006982,0.363461,0.178889,0.560089,37,36,26,stable_correct_gt_wrong
llava,corrupt,answer_adjacent_text,48,24,0.395833,0.021752,0.374081,0.186365,0.573243,37,37,25,stable_correct_gt_wrong
llava,corrupt,delta_matched_plus_answer_adjacent,48,24,0.390137,-0.056124,0.44626,0.2486,0.662162,38,35,23,stable_correct_gt_wrong
llava,corrupt,low_delta_control,48,24,0.006673,0.000665,0.006008,-0.001619,0.014228,20,20,25,weak_correct_gt_wrong
llava,corrupt,random_control_1,48,24,-0.026855,-0.04602,0.019165,-0.027221,0.064425,24,26,23,weak_correct_gt_wrong
llava,corrupt,top_hidden_delta_plus_answer_adjacent,48,24,0.65389,-0.034512,0.688402,0.370091,1.009811,37,37,27,stable_correct_gt_wrong
llava,restore,activation_matched_plus_answer_adjacent,48,24,0.521525,-0.0293,0.550824,0.338529,0.757744,39,40,22,stable_correct_gt_wrong
llava,restore,answer_adjacent_text,48,24,0.437785,0.055969,0.381816,0.217061,0.554169,39,41,27,stable_correct_gt_wrong
llava,restore,delta_matched_plus_answer_adjacent,48,24,1.259806,-0.163134,1.422941,0.982806,1.886843,40,40,16,stable_correct_gt_wrong
llava,restore,low_delta_control,48,24,0.025716,-0.007587,0.033304,0.009235,0.061971,19,19,25,stable_correct_gt_wrong
llava,restore,random_control_1,48,24,0.175252,-0.105775,0.281027,0.142877,0.437014,34,32,12,stable_correct_gt_wrong
llava,restore,top_hidden_delta_plus_answer_adjacent,48,24,1.446818,-0.147494,1.594312,1.053792,2.11364,41,41,24,stable_correct_gt_wrong
qwen,corrupt,activation_matched_plus_answer_adjacent,48,24,2.314779,-0.329402,2.64418,1.878555,3.391658,38,40,18,stable_correct_gt_wrong
qwen,corrupt,answer_adjacent_text,48,24,2.291016,-0.329524,2.620539,1.859416,3.368073,38,40,17,stable_correct_gt_wrong
qwen,corrupt,delta_matched_plus_answer_adjacent,48,24,2.300781,-0.330546,2.631327,1.872966,3.378621,39,40,16,stable_correct_gt_wrong
qwen,corrupt,low_delta_control,48,24,0.002604,-0.002563,0.005168,-0.005819,0.015991,19,5,12,weak_correct_gt_wrong
qwen,corrupt,random_control_1,48,24,0.015625,-0.000142,0.015767,-0.003988,0.038798,20,11,19,weak_correct_gt_wrong
qwen,corrupt,top_hidden_delta_plus_answer_adjacent,48,24,2.352539,-0.336975,2.689514,1.899679,3.462199,38,40,16,stable_correct_gt_wrong
qwen,restore,activation_matched_plus_answer_adjacent,48,24,2.66862,-0.300741,2.96936,2.138021,3.768758,42,38,22,stable_correct_gt_wrong
qwen,restore,answer_adjacent_text,48,24,2.410156,-0.275309,2.685465,1.866862,3.488932,40,38,21,stable_correct_gt_wrong
qwen,restore,delta_matched_plus_answer_adjacent,48,24,2.698568,-0.29362,2.992187,2.164795,3.809163,42,40,22,stable_correct_gt_wrong
qwen,restore,low_delta_control,48,24,-0.002604,0.001953,-0.004557,-0.015299,0.006185,12,6,13,heterogeneous
qwen,restore,random_control_1,48,24,0.030599,0.042806,-0.012207,-0.052409,0.020996,19,14,14,heterogeneous
qwen,restore,top_hidden_delta_plus_answer_adjacent,48,24,2.884766,-0.344482,3.229248,2.322876,4.13147,42,40,20,stable_correct_gt_wrong
