model_family,layer,bucket,direction,group_name,group_kind,scale,n_rows,n_samples,n_prompts,mean_effect_logit,positive_effect_logit_n,mean_effect_rank,positive_effect_rank_n,mean_effect_gap_closure,top1_changed_n,mean_position_count
llava,15,image_token_span,corrupt,answer_adjacent_text,bridge_text,1.0,6,3,2,0.460938,6,3.333333,4,0.415531,0,4.0
llava,15,image_token_span,corrupt,evidence_region,source_like,1.0,6,3,2,-0.091146,4,0.333333,1,-0.152754,0,64.0
llava,15,image_token_span,corrupt,evidence_region_plus_answer_adjacent,bridge_combo,1.0,6,3,2,0.454427,6,3.5,5,0.366035,0,68.0
llava,15,image_token_span,corrupt,low_delta_control,control,1.0,6,3,2,0.015625,4,0.0,0,0.015425,0,64.0
llava,15,image_token_span,corrupt,random_control_1,random_control,1.0,6,3,2,0.007812,2,0.333333,1,-0.025472,0,64.0
llava,15,image_token_span,corrupt,random_control_2,random_control,1.0,6,3,2,0.05599,3,0.5,2,0.006558,0,64.0
llava,15,image_token_span,corrupt,random_control_3,random_control,1.0,6,3,2,-0.085938,2,0.333333,1,-0.084431,0,64.0
llava,15,image_token_span,corrupt,random_control_4,random_control,1.0,6,3,2,-0.014323,1,0.0,0,-0.008913,0,64.0
llava,15,image_token_span,corrupt,top_hidden_delta,source_like,1.0,6,3,2,0.010417,4,0.333333,1,0.005635,0,64.0
llava,15,image_token_span,corrupt,top_hidden_delta_plus_answer_adjacent,bridge_combo,1.0,6,3,2,0.486979,6,3.666667,5,0.428299,0,68.0
llava,15,image_token_span,corrupt,whole_bucket,upper_bound,1.0,6,3,2,1.541667,4,10.666667,3,0.233758,1,576.0
llava,15,image_token_span,restore,answer_adjacent_text,bridge_text,1.0,6,3,2,0.507161,6,9.166667,6,0.452019,0,4.0
llava,15,image_token_span,restore,evidence_region,source_like,1.0,6,3,2,0.666016,4,36.333333,4,0.121982,0,64.0
llava,15,image_token_span,restore,evidence_region_plus_answer_adjacent,bridge_combo,1.0,6,3,2,1.188151,6,41.666667,6,0.566037,0,68.0
llava,15,image_token_span,restore,low_delta_control,control,1.0,6,3,2,0.072917,6,6.333333,2,0.027008,0,64.0
llava,15,image_token_span,restore,random_control_1,random_control,1.0,6,3,2,1.390625,3,47.166667,3,0.206823,0,64.0
llava,15,image_token_span,restore,random_control_2,random_control,1.0,6,3,2,1.904948,4,47.833333,4,0.441793,0,64.0
llava,15,image_token_span,restore,random_control_3,random_control,1.0,6,3,2,1.391927,4,46.5,3,0.193623,0,64.0
llava,15,image_token_span,restore,random_control_4,random_control,1.0,6,3,2,1.014974,4,41.0,3,0.158087,0,64.0
llava,15,image_token_span,restore,top_hidden_delta,source_like,1.0,6,3,2,1.575521,6,47.333333,3,0.252458,0,64.0
llava,15,image_token_span,restore,top_hidden_delta_plus_answer_adjacent,bridge_combo,1.0,6,3,2,2.139323,6,49.333333,6,0.714381,0,68.0
llava,15,image_token_span,restore,whole_bucket,upper_bound,1.0,6,3,2,2.41276,6,50.5,4,0.666936,0,576.0
qwen,26,image_marker_or_span,corrupt,answer_adjacent_text,bridge_text,1.0,6,3,2,3.15625,6,15.166667,2,1.533164,2,4.0
qwen,26,image_marker_or_span,corrupt,low_delta_control,control,1.0,6,3,2,0.020833,1,0.0,0,0.001961,0,32.0
qwen,26,image_marker_or_span,corrupt,random_control_1,random_control,1.0,6,3,2,0.083333,4,0.0,0,0.051106,0,32.0
qwen,26,image_marker_or_span,corrupt,random_control_2,random_control,1.0,6,3,2,0.052083,3,0.0,0,0.012724,0,32.0
qwen,26,image_marker_or_span,corrupt,random_control_3,random_control,1.0,6,3,2,0.0625,2,0.0,0,0.028627,1,32.0
qwen,26,image_marker_or_span,corrupt,random_control_4,random_control,1.0,6,3,2,0.010417,2,0.0,0,-0.010133,0,32.0
qwen,26,image_marker_or_span,corrupt,top_hidden_delta,source_like,1.0,6,3,2,0.145833,4,0.0,0,0.059677,0,32.0
qwen,26,image_marker_or_span,corrupt,top_hidden_delta_plus_answer_adjacent,bridge_combo,1.0,6,3,2,3.21875,6,17.0,2,1.539823,2,36.0
qwen,26,image_marker_or_span,corrupt,whole_bucket,upper_bound,1.0,6,3,2,0.729167,6,0.333333,2,0.389039,2,267.0
qwen,26,image_marker_or_span,restore,answer_adjacent_text,bridge_text,1.0,6,3,2,3.651042,4,89.166667,3,2.027095,4,4.0
qwen,26,image_marker_or_span,restore,low_delta_control,control,1.0,6,3,2,0.005208,1,-2.166667,0,0.006047,0,32.0
qwen,26,image_marker_or_span,restore,random_control_1,random_control,1.0,6,3,2,0.145833,4,20.5,3,0.02591,0,32.0
qwen,26,image_marker_or_span,restore,random_control_2,random_control,1.0,6,3,2,0.09375,3,8.0,1,0.065588,0,32.0
qwen,26,image_marker_or_span,restore,random_control_3,random_control,1.0,6,3,2,0.041667,1,-2.166667,1,0.032224,0,32.0
qwen,26,image_marker_or_span,restore,random_control_4,random_control,1.0,6,3,2,0.1875,4,18.0,2,0.072378,0,32.0
qwen,26,image_marker_or_span,restore,top_hidden_delta,source_like,1.0,6,3,2,0.348958,5,37.5,4,0.101022,1,32.0
qwen,26,image_marker_or_span,restore,top_hidden_delta_plus_answer_adjacent,bridge_combo,1.0,6,3,2,4.442708,6,90.0,4,2.331678,4,36.0
qwen,26,image_marker_or_span,restore,whole_bucket,upper_bound,1.0,6,3,2,0.765625,5,58.5,4,0.200409,1,267.0
