model_family,direction,group_name,n_rows,n_samples,mean_correct_effect_logit,mean_wrong_effect_logit,mean_correct_minus_wrong_logit,ci95_low,ci95_high,correct_stronger_n,correct_positive_n,wrong_positive_n,status
llava,corrupt,activation_matched_plus_answer_adjacent,56,28,0.677455,0.108765,0.568691,0.367833,0.769819,49,51,28,stable_correct_gt_wrong
llava,corrupt,answer_adjacent_text,56,28,0.695278,0.140178,0.5551,0.356474,0.752747,49,52,29,stable_correct_gt_wrong
llava,corrupt,delta_matched_plus_answer_adjacent,56,28,0.763009,0.172891,0.590118,0.392439,0.792943,46,50,31,stable_correct_gt_wrong
llava,corrupt,low_delta_control,56,28,0.007394,0.00254,0.004854,-0.007909,0.020137,27,26,28,weak_correct_gt_wrong
llava,corrupt,random_control_1,56,28,0.025251,0.020179,0.005072,-0.027866,0.037981,31,34,29,weak_correct_gt_wrong
llava,corrupt,top_hidden_delta,56,28,0.112165,-0.043011,0.155176,0.053347,0.284012,35,35,27,stable_correct_gt_wrong
llava,corrupt,top_hidden_delta_plus_answer_adjacent,56,28,0.795759,0.107214,0.688545,0.458863,0.912659,51,51,30,stable_correct_gt_wrong
llava,restore,activation_matched_plus_answer_adjacent,56,28,0.945905,0.142755,0.80315,0.487381,1.096041,46,44,30,stable_correct_gt_wrong
llava,restore,answer_adjacent_text,56,28,0.668701,0.142587,0.526114,0.250408,0.756277,49,50,30,stable_correct_gt_wrong
llava,restore,delta_matched_plus_answer_adjacent,56,28,1.519461,0.233269,1.286192,0.891866,1.691426,50,54,36,stable_correct_gt_wrong
llava,restore,low_delta_control,56,28,0.019531,0.009902,0.009629,-0.016347,0.036147,24,29,31,weak_correct_gt_wrong
llava,restore,random_control_1,56,28,0.462542,0.051749,0.410792,0.219969,0.660638,44,47,34,stable_correct_gt_wrong
llava,restore,top_hidden_delta,56,28,0.416783,0.060042,0.356741,0.123362,0.640507,41,41,32,stable_correct_gt_wrong
llava,restore,top_hidden_delta_plus_answer_adjacent,56,28,1.216239,0.203217,1.013022,0.628557,1.396779,50,53,33,stable_correct_gt_wrong
qwen,corrupt,activation_matched_plus_answer_adjacent,56,28,3.223214,0.003697,3.219517,2.406459,4.118373,46,46,30,stable_correct_gt_wrong
qwen,corrupt,answer_adjacent_text,56,28,3.204241,0.003348,3.200893,2.384068,4.101911,46,46,30,stable_correct_gt_wrong
qwen,corrupt,delta_matched_plus_answer_adjacent,56,28,3.217076,0.014579,3.202497,2.384138,4.104143,46,46,30,stable_correct_gt_wrong
qwen,corrupt,low_delta_control,56,28,0.007254,-0.000105,0.007359,-0.004987,0.019915,22,10,16,weak_correct_gt_wrong
qwen,corrupt,random_control_1,56,28,0.023996,-0.000628,0.024623,0.008022,0.04255,30,14,19,stable_correct_gt_wrong
qwen,corrupt,top_hidden_delta,56,28,0.020089,0.00436,0.01573,-0.006452,0.036447,28,20,25,weak_correct_gt_wrong
qwen,corrupt,top_hidden_delta_plus_answer_adjacent,56,28,3.232701,0.01137,3.221331,2.398856,4.118164,46,46,30,stable_correct_gt_wrong
qwen,restore,activation_matched_plus_answer_adjacent,56,28,3.89202,0.003313,3.888707,2.974086,4.896136,46,48,28,stable_correct_gt_wrong
qwen,restore,answer_adjacent_text,56,28,3.712891,0.010515,3.702375,2.76123,4.703108,47,47,29,stable_correct_gt_wrong
qwen,restore,delta_matched_plus_answer_adjacent,56,28,3.779855,0.005772,3.774083,2.818708,4.802682,46,47,28,stable_correct_gt_wrong
qwen,restore,low_delta_control,56,28,0.013672,0.004804,0.008868,-0.011143,0.032924,22,10,20,weak_correct_gt_wrong
qwen,restore,random_control_1,56,28,0.077567,0.006496,0.071071,0.025731,0.121931,30,23,22,stable_correct_gt_wrong
qwen,restore,top_hidden_delta,56,28,0.121931,0.024972,0.096959,0.011579,0.205706,23,23,27,stable_correct_gt_wrong
qwen,restore,top_hidden_delta_plus_answer_adjacent,56,28,3.885324,0.029663,3.855661,2.947213,4.880406,46,47,30,stable_correct_gt_wrong
