model_family,layer,bucket,direction,group_name,group_kind,scale,n_rows,n_samples,n_prompts,mean_effect_logit,positive_effect_logit_n,mean_effect_rank,positive_effect_rank_n,mean_effect_gap_closure,top1_changed_n,mean_position_count
llava,15,image_token_span,corrupt,activation_matched_control,matched_control,1.0,24,12,2,-0.00472,7,0.291667,6,0.102924,0,64.0
llava,15,image_token_span,corrupt,activation_matched_plus_answer_adjacent,matched_bridge_control,1.0,24,12,2,0.32959,18,4.041667,11,0.613283,11,68.0
llava,15,image_token_span,corrupt,answer_adjacent_text,bridge_text,1.0,24,12,2,0.32959,19,3.625,11,0.501264,11,4.0
llava,15,image_token_span,corrupt,delta_matched_control,matched_control,1.0,24,12,2,-0.017578,11,-2.083333,4,-0.218766,2,64.0
llava,15,image_token_span,corrupt,delta_matched_plus_answer_adjacent,matched_bridge_control,1.0,24,12,2,0.361979,17,0.916667,12,0.761114,11,68.0
llava,15,image_token_span,corrupt,evidence_region,source_like,1.0,24,12,2,0.028809,15,0.291667,6,1.93295,0,64.0
llava,15,image_token_span,corrupt,evidence_region_plus_answer_adjacent,bridge_combo,1.0,24,12,2,0.440918,21,3.958333,12,2.628255,13,68.0
llava,15,image_token_span,corrupt,low_delta_control,control,1.0,24,12,2,-0.000977,9,0.166667,3,0.083218,0,64.0
llava,15,image_token_span,corrupt,random_control_1,random_control,1.0,24,12,2,-0.053385,10,-0.833333,3,-1.052507,0,64.0
llava,15,image_token_span,corrupt,random_control_2,random_control,1.0,24,12,2,-0.058105,5,-1.458333,3,-0.451298,1,64.0
llava,15,image_token_span,corrupt,random_control_3,random_control,1.0,24,12,2,0.025716,12,0.625,7,-0.207312,0,64.0
llava,15,image_token_span,corrupt,random_control_4,random_control,1.0,24,12,2,-0.003581,11,0.125,7,-0.178552,0,64.0
llava,15,image_token_span,corrupt,top_hidden_delta,source_like,1.0,24,12,2,0.195638,12,1.041667,10,0.065276,0,64.0
llava,15,image_token_span,corrupt,top_hidden_delta_plus_answer_adjacent,bridge_combo,1.0,24,12,2,0.555501,18,5.083333,15,0.843675,13,68.0
llava,15,image_token_span,corrupt,whole_bucket,upper_bound,1.0,24,12,2,1.16862,15,8.541667,14,-0.506498,12,576.0
llava,15,image_token_span,restore,activation_matched_control,matched_control,1.0,24,12,2,0.054036,11,9.416667,9,0.234526,0,64.0
llava,15,image_token_span,restore,activation_matched_plus_answer_adjacent,matched_bridge_control,1.0,24,12,2,0.540527,21,29.75,17,1.918849,8,68.0
llava,15,image_token_span,restore,answer_adjacent_text,bridge_text,1.0,24,12,2,0.438639,21,20.708333,17,1.831328,8,4.0
