sample_id,prompt_name,condition,layer,bucket,status,position_count,topk_jaccard_change,bucket_mean_shift,mean_topk_drop
okvqa_val_2847255,B_direct,answer_mask,0,image_token_span,ok,576,0.6666666666666667,-0.010906755924224854,0.1173828125
okvqa_val_2847255,B_direct,answer_mask,0,question,ok,34,0.18181818181818177,-0.0038289912045001984,0.020849609375
okvqa_val_2847255,B_direct,answer_mask,0,post_image_text,ok,35,0.18181818181818177,-0.0038244128227233887,0.020751953125
okvqa_val_2847255,B_direct,answer_mask,0,assistant_prefix,ok,4,0.09523809523809523,-0.005611978471279144,-0.0056640625
okvqa_val_2847255,B_direct,answer_mask,0,last_prompt_token,ok,1,0.18181818181818177,-0.009996924549341202,-0.03935546875
okvqa_val_2847255,B_direct,union_mask,0,image_token_span,ok,576,0.6666666666666667,-0.029093682765960693,0.06875
okvqa_val_2847255,B_direct,union_mask,0,question,ok,34,0.18181818181818177,-0.0037428736686706543,0.049658203125
okvqa_val_2847255,B_direct,union_mask,0,post_image_text,ok,35,0.18181818181818177,-0.0037341825664043427,0.050390625
okvqa_val_2847255,B_direct,union_mask,0,assistant_prefix,ok,4,0.09523809523809523,-0.0075127482414245605,-0.008984375
okvqa_val_2847255,B_direct,union_mask,0,last_prompt_token,ok,1,0.18181818181818177,-0.010464925318956375,-0.0401611328125
okvqa_val_2847255,D_visual_only,answer_mask,0,image_token_span,ok,576,0.6666666666666667,-0.010906755924224854,0.1173828125
okvqa_val_2847255,D_visual_only,answer_mask,0,question,ok,38,0.18181818181818177,-0.0038396306335926056,0.025146484375
okvqa_val_2847255,D_visual_only,answer_mask,0,post_image_text,ok,39,0.18181818181818177,-0.0038196034729480743,0.02529296875
okvqa_val_2847255,D_visual_only,answer_mask,0,assistant_prefix,ok,4,0.18181818181818177,-0.005397804081439972,-0.003271484375
okvqa_val_2847255,D_visual_only,answer_mask,0,last_prompt_token,ok,1,0.18181818181818177,-0.010781608521938324,-0.0405029296875
okvqa_val_2847255,D_visual_only,union_mask,0,image_token_span,ok,576,0.6666666666666667,-0.029093682765960693,0.06875
okvqa_val_2847255,D_visual_only,union_mask,0,question,ok,38,0.18181818181818177,-0.003794655203819275,0.05400390625
okvqa_val_2847255,D_visual_only,union_mask,0,post_image_text,ok,39,0.18181818181818177,-0.0038006380200386047,0.055615234375
okvqa_val_2847255,D_visual_only,union_mask,0,assistant_prefix,ok,4,0.09523809523809523,-0.007245026528835297,-0.00751953125
okvqa_val_2847255,D_visual_only,union_mask,0,last_prompt_token,ok,1,0.18181818181818177,-0.010827198624610901,-0.0399658203125
okvqa_val_4157235,B_direct,answer_mask,0,image_token_span,ok,576,0.7878787878787878,-0.04710105061531067,0.02763671875
okvqa_val_4157235,B_direct,answer_mask,0,question,ok,27,0.18181818181818177,-0.0023559071123600006,-0.015087890625
okvqa_val_4157235,B_direct,answer_mask,0,post_image_text,ok,28,0.18181818181818177,-0.002361193299293518,-0.015087890625
okvqa_val_4157235,B_direct,answer_mask,0,assistant_prefix,ok,4,0.09523809523809523,-0.00564209371805191,-0.014501953125
okvqa_val_4157235,B_direct,answer_mask,0,last_prompt_token,ok,1,0.26086956521739135,-0.006559461355209351,-0.0247802734375
okvqa_val_4157235,B_direct,union_mask,0,image_token_span,ok,576,0.7096774193548387,-0.04829829931259155,0.1171875
okvqa_val_4157235,B_direct,union_mask,0,question,ok,27,0.26086956521739135,-0.0011521652340888977,0.00517578125
okvqa_val_4157235,B_direct,union_mask,0,post_image_text,ok,28,0.26086956521739135,-0.0011703968048095703,0.00517578125
okvqa_val_4157235,B_direct,union_mask,0,assistant_prefix,ok,4,0.09523809523809523,-0.005738027393817902,-0.011083984375
okvqa_val_4157235,B_direct,union_mask,0,last_prompt_token,ok,1,0.33333333333333337,-0.00889229029417038,-0.032080078125
okvqa_val_4157235,D_visual_only,answer_mask,0,image_token_span,ok,576,0.7878787878787878,-0.04710105061531067,0.02763671875
okvqa_val_4157235,D_visual_only,answer_mask,0,question,ok,31,0.18181818181818177,-0.0024234578013420105,-0.010498046875
okvqa_val_4157235,D_visual_only,answer_mask,0,post_image_text,ok,32,0.18181818181818177,-0.002414032816886902,-0.010498046875
okvqa_val_4157235,D_visual_only,answer_mask,0,assistant_prefix,ok,4,0.18181818181818177,-0.005478225648403168,-0.01416015625
okvqa_val_4157235,D_visual_only,answer_mask,0,last_prompt_token,ok,1,0.26086956521739135,-0.007039494812488556,-0.023828125
