source_pack,model_family,mask_condition,direction,group_name,group_kind,n_rows,n_samples,mean_effect_logit,ci95_low,ci95_high,effect_status,positive_effect_logit_n,mean_effect_rank,positive_effect_rank_n,mean_effect_gap_closure,mean_clean_mask_logit_gap
stage2n_heldout,llava,answer_mask,corrupt,activation_matched_control,matched_control,56,28,0.000767,-0.029925,0.023438,weak_or_heterogeneous_positive,29,0.410714,7,-0.022481,2.556815
stage2n_heldout,llava,answer_mask,corrupt,activation_matched_plus_answer_adjacent,matched_bridge_control,56,28,0.602818,0.441964,0.770787,stable_positive,48,10.678571,33,0.317173,2.556815
stage2n_heldout,llava,answer_mask,corrupt,answer_adjacent_text,bridge_text,56,28,0.59811,0.439907,0.765276,stable_positive,48,10.5,34,0.332411,2.556815
stage2n_heldout,llava,answer_mask,corrupt,delta_matched_control,matched_control,56,28,-0.000837,-0.094936,0.075963,not_positive,33,-0.553571,15,-0.062708,2.556815
stage2n_heldout,llava,answer_mask,corrupt,delta_matched_plus_answer_adjacent,matched_bridge_control,56,28,0.617013,0.432617,0.797398,stable_positive,47,10.160714,34,0.293036,2.556815
stage2n_heldout,llava,answer_mask,corrupt,evidence_region,source_like,56,28,0.285052,0.100307,0.511614,stable_positive,36,43.910714,19,0.103702,2.556815
stage2n_heldout,llava,answer_mask,corrupt,evidence_region_plus_answer_adjacent,bridge_combo,56,28,0.839251,0.605434,1.101423,stable_positive,49,35.232143,37,0.417721,2.556815
stage2n_heldout,llava,answer_mask,corrupt,low_delta_control,control,56,28,0.009068,0.003209,0.016044,stable_positive,26,0.803571,5,0.006329,2.556815
stage2n_heldout,llava,answer_mask,corrupt,random_control_1,random_control,56,28,-0.029506,-0.091797,0.009138,not_positive,30,-0.232143,6,-0.082965,2.556815
stage2n_heldout,llava,answer_mask,corrupt,random_control_2,random_control,56,28,-0.008824,-0.027448,0.010568,not_positive,24,0.446429,7,-0.011657,2.556815
stage2n_heldout,llava,answer_mask,corrupt,random_control_3,random_control,56,28,-0.002267,-0.017334,0.01416,not_positive,24,0.339286,8,-0.004417,2.556815
stage2n_heldout,llava,answer_mask,corrupt,random_control_4,random_control,56,28,0.010707,-0.005371,0.027274,weak_or_heterogeneous_positive,28,0.446429,13,0.018637,2.556815
stage2n_heldout,llava,answer_mask,corrupt,top_hidden_delta,source_like,56,28,0.09954,0.021136,0.189104,stable_positive,29,9.25,15,0.03099,2.556815
stage2n_heldout,llava,answer_mask,corrupt,top_hidden_delta_plus_answer_adjacent,bridge_combo,56,28,0.700474,0.514544,0.892857,stable_positive,49,17.982143,34,0.363733,2.556815
stage2n_heldout,llava,answer_mask,corrupt,whole_bucket,upper_bound,56,28,1.299212,0.886579,1.748605,stable_positive,46,67.785714,37,0.455284,2.556815
stage2n_heldout,llava,answer_mask,restore,activation_matched_control,matched_control,56,28,0.260777,0.08252,0.482282,stable_positive,36,17.678571,21,0.041124,2.556815
stage2n_heldout,llava,answer_mask,restore,activation_matched_plus_answer_adjacent,matched_bridge_control,56,28,0.976074,0.713588,1.247454,stable_positive,46,51.964286,40,0.407641,2.556815
stage2n_heldout,llava,answer_mask,restore,answer_adjacent_text,bridge_text,56,28,0.623361,0.464565,0.782192,stable_positive,47,30.232143,39,0.357177,2.556815
stage2n_heldout,llava,answer_mask,restore,delta_matched_control,matched_control,56,28,0.649135,0.340018,1.009905,stable_positive,48,32.339286,37,0.169786,2.556815
stage2n_heldout,llava,answer_mask,restore,delta_matched_plus_answer_adjacent,matched_bridge_control,56,28,1.402588,1.04398,1.81543,stable_positive,49,61.5,43,0.576291,2.556815
stage2n_heldout,llava,answer_mask,restore,evidence_region,source_like,56,28,0.708391,0.508789,0.933908,stable_positive,50,66.410714,40,0.269044,2.556815
stage2n_heldout,llava,answer_mask,restore,evidence_region_plus_answer_adjacent,bridge_combo,56,28,1.579485,1.270717,1.899275,stable_positive,56,114.107143,49,0.662654,2.556815
