asset_id,mask_condition,intervention,mask_variant,comparison_count,mean_source_effect,mean_control_effect,mean_source_minus_control,ci95_low,ci95_high,positive_count,mean_source_correct_minus_wrong,correct_wrong_positive_count
qwen2p5vl_plt,answer_mask,restore,mask_shuffled,38,-0.001644736842105263,-0.013157894736842105,0.011513157894736841,-0.004934210526315789,0.029605263157894735,8,,0
qwen2p5vl_plt,answer_mask,restore,real_mask,38,0.04358552631578947,-0.004111842105263158,0.047697368421052634,0.011513157894736841,0.09292763157894737,15,0.031661184210526314,20
qwen2p5vl_plt,answer_mask,zeroing,real_mask,38,0.16611842105263158,-0.06578947368421052,0.23190789473684212,0.15296052631578946,0.34539473684210525,35,0.10474917763157894,31
qwen2p5vl_plt,union_mask,restore,mask_shuffled,37,0.0,0.005067567567567568,-0.005067567567567568,-0.013513513513513514,0.0033783783783783786,1,,0
qwen2p5vl_plt,union_mask,restore,real_mask,37,0.0625,0.006756756756756757,0.05574324324324324,0.03547297297297297,0.07601351351351351,22,0.03146114864864865,18
qwen2p5vl_plt,union_mask,zeroing,real_mask,37,0.16385135135135134,-0.015202702702702704,0.17905405405405406,0.13682432432432431,0.22466216216216217,31,0.10293496621621621,29
qwen2p5vl_clt,answer_mask,restore,mask_shuffled,48,-0.005208333333333333,-0.0078125,0.0026041666666666665,-0.015625,0.01953125,10,,0
qwen2p5vl_clt,answer_mask,restore,real_mask,48,0.1953125,0.009114583333333334,0.18619791666666666,0.126953125,0.244140625,34,0.16324869791666666,32
qwen2p5vl_clt,answer_mask,zeroing,real_mask,48,0.75,0.0,0.75,0.6341145833333334,0.8932291666666666,48,0.6410115559895834,44
qwen2p5vl_clt,union_mask,restore,mask_shuffled,48,0.036458333333333336,0.010416666666666666,0.026041666666666668,-0.005208333333333333,0.06510416666666667,11,,0
qwen2p5vl_clt,union_mask,restore,real_mask,48,0.20377604166666666,0.005208333333333333,0.19856770833333334,0.123046875,0.2838541666666667,34,0.1748046875,35
qwen2p5vl_clt,union_mask,zeroing,real_mask,48,0.712890625,-0.0013020833333333333,0.7141927083333334,0.57421875,0.8756510416666666,48,0.6412200927734375,43
llava15_clt,answer_mask,restore,mask_shuffled,45,0.00043402777777777775,-0.00034722222222222224,0.00078125,-0.0012152777777777778,0.002777777777777778,13,,0
llava15_clt,answer_mask,restore,real_mask,45,0.0010850694444444445,0.0012152777777777778,-0.00013020833333333333,-0.004340277777777778,0.004296875,13,-0.0011284722222222221,18
llava15_clt,answer_mask,zeroing,real_mask,45,0.049305555555555554,-0.0019965277777777776,0.05130208333333333,0.03732638888888889,0.06649305555555556,39,0.04320119222005208,39
llava15_clt,union_mask,restore,mask_shuffled,46,0.0009341032608695652,-0.00033967391304347825,0.0012737771739130435,-0.0004245923913043478,0.002972146739130435,14,,0
llava15_clt,union_mask,restore,real_mask,46,0.005222486413043478,0.003099524456521739,0.002122961956521739,-0.001740828804347826,0.006623641304347826,16,0.006697944972826087,30
llava15_clt,union_mask,zeroing,real_mask,46,0.04288383152173913,0.010105298913043478,0.032778532608695655,0.021059782608695652,0.04526154891304348,37,0.035583330237347145,38
