model_family,mask_condition,mask_variant,intervention,feature_role,n_rows,positive_logit_n,positive_rank_n,mean_effect_logit,ci95_low,ci95_high,effect_status,mean_effect_rank,mean_gap_closure,mean_correct_minus_wrong_logit
llava,answer_mask,mask_shuffled,restore,matched_control,8,1,0,-0.000977,-0.003906,0.001953,not_positive,0.0,-0.000261,
llava,answer_mask,mask_shuffled,restore,source,8,0,0,-0.000977,-0.00293,0.0,not_positive,0.0,-0.000165,
llava,answer_mask,real_mask,restore,matched_control,8,2,1,0.003418,-0.000977,0.009277,weak_or_heterogeneous_positive,0.25,0.000406,0.003784
llava,answer_mask,real_mask,restore,source,8,3,2,0.001953,-0.000488,0.004883,weak_or_heterogeneous_positive,0.375,0.000237,0.002441
llava,answer_mask,real_mask,zeroing,matched_control,8,4,0,0.014648,0.000977,0.03125,stable_positive,0.0,0.001956,0.003296
llava,answer_mask,real_mask,zeroing,source,8,8,0,0.032227,0.015625,0.051758,stable_positive,0.0,0.005441,0.022339
llava,union_mask,mask_shuffled,restore,matched_control,8,0,0,0.0,0.0,0.0,not_positive,0.0,0.0,
llava,union_mask,mask_shuffled,restore,source,8,0,0,-0.001953,-0.004883,0.0,not_positive,0.0,-0.000311,
llava,union_mask,real_mask,restore,matched_control,8,3,0,0.001465,-0.00293,0.005859,weak_or_heterogeneous_positive,0.0,0.000134,0.000488
llava,union_mask,real_mask,restore,source,8,3,1,0.001465,-0.000977,0.003906,weak_or_heterogeneous_positive,0.125,0.000242,0.00415
llava,union_mask,real_mask,zeroing,matched_control,8,6,0,0.025391,0.006836,0.045898,stable_positive,0.0,0.003967,0.016602
llava,union_mask,real_mask,zeroing,source,8,8,0,0.032227,0.019531,0.047852,stable_positive,0.0,0.005326,0.032959
qwen,answer_mask,mask_shuffled,restore,matched_control,12,3,0,0.010417,-0.03125,0.052083,weak_or_heterogeneous_positive,0.0,0.00047,
qwen,answer_mask,mask_shuffled,restore,source,12,1,0,0.0,-0.03125,0.03125,not_positive,0.0,-0.000183,
qwen,answer_mask,real_mask,restore,matched_control,12,3,5,-0.033854,-0.078125,0.007812,not_positive,-41.416667,-0.003228,-0.013021
qwen,answer_mask,real_mask,restore,source,12,8,9,0.380208,0.106771,0.729167,stable_positive,459.5,0.031999,0.377604
qwen,answer_mask,real_mask,zeroing,matched_control,12,7,1,0.005208,-0.192708,0.15625,weak_or_heterogeneous_positive,0.083333,6.7e-05,0.093424
qwen,answer_mask,real_mask,zeroing,source,12,12,2,0.479167,0.296875,0.697917,stable_positive,0.25,0.043423,0.407878
qwen,union_mask,mask_shuffled,restore,matched_control,12,1,1,-0.005208,-0.03125,0.015625,not_positive,-0.416667,-0.000735,
qwen,union_mask,mask_shuffled,restore,source,12,2,1,0.015625,-0.072917,0.119792,weak_or_heterogeneous_positive,-0.333333,0.001123,
qwen,union_mask,real_mask,restore,matched_control,12,4,3,0.013021,-0.023438,0.057292,weak_or_heterogeneous_positive,-4.166667,0.001271,0.019531
qwen,union_mask,real_mask,restore,source,12,8,8,0.390625,0.018229,0.890625,stable_positive,49.416667,0.042859,0.388021
qwen,union_mask,real_mask,zeroing,matched_control,12,3,0,0.020833,-0.046875,0.09375,weak_or_heterogeneous_positive,0.0,0.00137,0.046549
qwen,union_mask,real_mask,zeroing,source,12,12,2,0.526042,0.317708,0.755208,stable_positive,0.25,0.05378,0.451172
