layer,top_k,position_group,direction,feature_group,n_rows,positive_logit_n,positive_rank_n,mean_logit_effect,ci95_low,ci95_high,effect_status,mean_rank_effect,mean_gap_closure
12,1,answer_adjacent_text,corrupt,activation_matched_topk,8,2,0,0.000977,-0.001953,0.003906,weak_or_heterogeneous_positive,0.0,0.000251
12,1,answer_adjacent_text,corrupt,attribution_matched_mask_insensitive_topk,8,4,0,0.003906,0.000977,0.006836,stable_positive,0.0,0.000819
12,1,answer_adjacent_text,corrupt,drop_matched_topk,8,4,0,0.00293,-0.003906,0.008789,weak_or_heterogeneous_positive,0.0,0.000455
12,1,answer_adjacent_text,corrupt,evidence_attribution_topk,8,4,0,0.004883,-0.003906,0.013672,weak_or_heterogeneous_positive,0.0,0.001079
12,1,answer_adjacent_text,corrupt,random_active_topk,8,4,0,0.005859,0.000977,0.009766,stable_positive,0.0,0.001033
12,1,answer_adjacent_text,restore,activation_matched_topk,8,3,0,0.001465,-0.001953,0.005371,weak_or_heterogeneous_positive,-0.125,0.000256
12,1,answer_adjacent_text,restore,attribution_matched_mask_insensitive_topk,8,2,1,0.001465,-0.000977,0.004883,weak_or_heterogeneous_positive,0.125,0.000275
12,1,answer_adjacent_text,restore,drop_matched_topk,8,4,1,0.003418,0.000488,0.007324,stable_positive,0.125,0.000525
12,1,answer_adjacent_text,restore,evidence_attribution_topk,8,4,0,0.001465,-0.004395,0.006836,weak_or_heterogeneous_positive,-0.125,0.000401
12,1,answer_adjacent_text,restore,random_active_topk,8,2,1,0.000488,-0.002441,0.003418,weak_or_heterogeneous_positive,0.125,-2.6e-05
12,1,top_hidden_delta,corrupt,activation_matched_topk,8,1,0,-0.000977,-0.005859,0.004883,not_positive,0.0,-4.6e-05
12,1,top_hidden_delta,corrupt,attribution_matched_mask_insensitive_topk,8,3,0,0.000977,-0.00293,0.004883,weak_or_heterogeneous_positive,0.0,0.00024
12,1,top_hidden_delta,corrupt,drop_matched_topk,8,1,0,-0.017578,-0.03418,-0.00293,not_positive,-0.125,-0.003135
12,1,top_hidden_delta,corrupt,evidence_attribution_topk,8,4,0,0.004883,0.0,0.009766,weak_or_heterogeneous_positive,0.0,0.00105
12,1,top_hidden_delta,corrupt,random_active_topk,8,4,0,0.001953,-0.00293,0.005859,weak_or_heterogeneous_positive,0.0,0.000329
12,1,top_hidden_delta,restore,activation_matched_topk,8,3,0,0.001465,-0.00293,0.005371,weak_or_heterogeneous_positive,-0.125,0.000294
12,1,top_hidden_delta,restore,attribution_matched_mask_insensitive_topk,8,1,1,0.0,-0.001953,0.002441,not_positive,0.125,1e-06
12,1,top_hidden_delta,restore,drop_matched_topk,8,2,1,0.001953,-0.002441,0.007812,weak_or_heterogeneous_positive,0.125,0.000361
12,1,top_hidden_delta,restore,evidence_attribution_topk,8,1,0,-0.000488,-0.005371,0.004883,not_positive,0.0,-6.8e-05
12,1,top_hidden_delta,restore,random_active_topk,8,1,0,0.0,-0.001953,0.002441,not_positive,0.0,1e-05
12,1,top_hidden_delta_plus_answer_adjacent,corrupt,activation_matched_topk,8,2,0,0.0,-0.006836,0.006836,not_positive,0.0,0.00019
12,1,top_hidden_delta_plus_answer_adjacent,corrupt,attribution_matched_mask_insensitive_topk,8,3,0,0.000977,-0.00293,0.004883,weak_or_heterogeneous_positive,0.0,0.00024
12,1,top_hidden_delta_plus_answer_adjacent,corrupt,drop_matched_topk,8,1,0,-0.016602,-0.03418,-0.001953,not_positive,-0.125,-0.003031
12,1,top_hidden_delta_plus_answer_adjacent,corrupt,evidence_attribution_topk,8,5,0,0.001953,-0.007812,0.010742,weak_or_heterogeneous_positive,0.0,0.00071
12,1,top_hidden_delta_plus_answer_adjacent,corrupt,random_active_topk,8,2,0,0.0,-0.004883,0.005859,not_positive,0.0,5.8e-05
12,1,top_hidden_delta_plus_answer_adjacent,restore,activation_matched_topk,8,4,0,0.000488,-0.00293,0.003906,weak_or_heterogeneous_positive,0.0,-3.5e-05
12,1,top_hidden_delta_plus_answer_adjacent,restore,attribution_matched_mask_insensitive_topk,8,3,2,0.002441,-0.001465,0.006836,weak_or_heterogeneous_positive,0.25,0.000371
12,1,top_hidden_delta_plus_answer_adjacent,restore,drop_matched_topk,8,1,0,0.000977,-0.00293,0.005859,weak_or_heterogeneous_positive,-0.125,0.000179
12,1,top_hidden_delta_plus_answer_adjacent,restore,evidence_attribution_topk,8,1,0,-0.006348,-0.014648,0.000488,not_positive,-0.5,-0.000854
12,1,top_hidden_delta_plus_answer_adjacent,restore,random_active_topk,8,2,1,0.000488,-0.001953,0.003418,weak_or_heterogeneous_positive,0.125,7.2e-05
12,32,answer_adjacent_text,corrupt,activation_matched_topk,8,3,0,-0.000977,-0.007812,0.005859,not_positive,0.0,-7.6e-05
12,32,answer_adjacent_text,corrupt,attribution_matched_mask_insensitive_topk,8,4,0,-0.004883,-0.015625,0.005859,not_positive,0.0,-0.000458
12,32,answer_adjacent_text,corrupt,drop_matched_topk,8,2,0,0.0,-0.013672,0.016602,not_positive,0.0,-0.000128
12,32,answer_adjacent_text,corrupt,evidence_attribution_topk,8,5,0,0.021484,-0.008789,0.049805,weak_or_heterogeneous_positive,0.0,0.003484
12,32,answer_adjacent_text,corrupt,random_active_topk,8,4,0,0.004883,-0.001953,0.013672,weak_or_heterogeneous_positive,0.0,0.000657
12,32,answer_adjacent_text,restore,activation_matched_topk,8,3,0,0.001465,-0.006836,0.010742,weak_or_heterogeneous_positive,-0.375,0.000376
12,32,answer_adjacent_text,restore,attribution_matched_mask_insensitive_topk,8,2,0,-0.010742,-0.024902,0.001465,not_positive,-1.375,-0.001445
12,32,answer_adjacent_text,restore,drop_matched_topk,8,5,2,0.003418,-0.008789,0.018066,weak_or_heterogeneous_positive,1.25,-1.4e-05
12,32,answer_adjacent_text,restore,evidence_attribution_topk,8,7,2,0.03125,0.005859,0.059082,stable_positive,2.25,0.004298
12,32,answer_adjacent_text,restore,random_active_topk,8,4,1,0.004883,-0.001465,0.012695,weak_or_heterogeneous_positive,0.5,0.000654
12,32,top_hidden_delta,corrupt,activation_matched_topk,8,4,0,0.005859,-0.003906,0.016602,weak_or_heterogeneous_positive,0.0,0.000733
