model_family,layer,bucket,direction,group_name,group_kind,scale,n_rows,n_samples,n_prompts,mean_effect_logit,positive_effect_logit_n,mean_effect_rank,positive_effect_rank_n,mean_effect_gap_closure,top1_changed_n,mean_position_count
llava,15,image_token_span,corrupt,answer_adjacent_text,bridge_text,1.0,24,12,2,0.32959,19,3.625,11,0.501264,11,4.0
llava,15,image_token_span,corrupt,evidence_region,source_like,1.0,24,12,2,0.028809,15,0.291667,6,1.93295,0,64.0
llava,15,image_token_span,corrupt,evidence_region_plus_answer_adjacent,bridge_combo,1.0,24,12,2,0.440918,21,3.958333,12,2.628255,13,68.0
llava,15,image_token_span,corrupt,low_delta_control,control,1.0,24,12,2,-0.000977,9,0.166667,3,0.083218,0,64.0
llava,15,image_token_span,corrupt,random_control_1,random_control,1.0,24,12,2,-0.053385,10,-0.833333,3,-1.052507,0,64.0
llava,15,image_token_span,corrupt,random_control_2,random_control,1.0,24,12,2,-0.058105,5,-1.458333,3,-0.451298,1,64.0
llava,15,image_token_span,corrupt,random_control_3,random_control,1.0,24,12,2,0.025716,12,0.625,7,-0.207312,0,64.0
llava,15,image_token_span,corrupt,random_control_4,random_control,1.0,24,12,2,-0.003581,11,0.125,7,-0.178552,0,64.0
llava,15,image_token_span,corrupt,top_hidden_delta,source_like,1.0,24,12,2,0.195638,12,1.041667,10,0.065276,0,64.0
llava,15,image_token_span,corrupt,top_hidden_delta_plus_answer_adjacent,bridge_combo,1.0,24,12,2,0.555501,18,5.083333,15,0.843675,13,68.0
llava,15,image_token_span,corrupt,whole_bucket,upper_bound,1.0,24,12,2,1.16862,15,8.541667,14,-0.506498,12,576.0
llava,15,image_token_span,restore,answer_adjacent_text,bridge_text,1.0,24,12,2,0.438639,21,20.708333,17,1.831328,8,4.0
llava,15,image_token_span,restore,evidence_region,source_like,1.0,24,12,2,0.740072,22,15.375,16,2.884125,1,64.0
llava,15,image_token_span,restore,evidence_region_plus_answer_adjacent,bridge_combo,1.0,24,12,2,1.346842,23,28.5,17,4.587115,8,68.0
llava,15,image_token_span,restore,low_delta_control,control,1.0,24,12,2,0.026204,6,-0.25,4,0.175365,0,64.0
llava,15,image_token_span,restore,random_control_1,random_control,1.0,24,12,2,0.256022,15,26.916667,12,-0.899634,0,64.0
llava,15,image_token_span,restore,random_control_2,random_control,1.0,24,12,2,0.21875,13,21.958333,10,-0.611379,1,64.0
llava,15,image_token_span,restore,random_control_3,random_control,1.0,24,12,2,0.726237,22,33.083333,16,0.253054,0,64.0
llava,15,image_token_span,restore,random_control_4,random_control,1.0,24,12,2,0.46403,17,31.958333,15,0.024022,1,64.0
llava,15,image_token_span,restore,top_hidden_delta,source_like,1.0,24,12,2,1.045898,20,30.375,16,0.765571,1,64.0
llava,15,image_token_span,restore,top_hidden_delta_plus_answer_adjacent,bridge_combo,1.0,24,12,2,1.636556,21,42.083333,18,2.362266,8,68.0
llava,15,image_token_span,restore,whole_bucket,upper_bound,1.0,24,12,2,1.379232,20,45.625,18,0.088273,7,576.0
qwen,26,image_marker_or_span,corrupt,answer_adjacent_text,bridge_text,1.0,24,12,2,2.80599,20,408.166667,17,0.51234,18,4.0
qwen,26,image_marker_or_span,corrupt,low_delta_control,control,1.0,24,12,2,0.0,2,-0.083333,0,0.001669,1,32.0
qwen,26,image_marker_or_span,corrupt,random_control_1,random_control,1.0,24,12,2,0.0,5,-0.083333,0,-0.004458,1,32.0
qwen,26,image_marker_or_span,corrupt,random_control_2,random_control,1.0,24,12,2,0.007812,6,-0.25,0,0.008783,0,32.0
qwen,26,image_marker_or_span,corrupt,random_control_3,random_control,1.0,24,12,2,-0.005208,4,-0.041667,0,-0.0008,0,32.0
qwen,26,image_marker_or_span,corrupt,random_control_4,random_control,1.0,24,12,2,-0.013021,3,-0.166667,0,-0.002222,0,32.0
qwen,26,image_marker_or_span,corrupt,top_hidden_delta,source_like,1.0,24,12,2,0.195312,6,0.041667,3,0.015145,1,32.0
qwen,26,image_marker_or_span,corrupt,top_hidden_delta_plus_answer_adjacent,bridge_combo,1.0,24,12,2,2.953776,20,410.75,16,0.531308,19,36.0
qwen,26,image_marker_or_span,corrupt,whole_bucket,upper_bound,1.0,24,12,2,0.502604,16,1.5,9,0.046247,4,349.416667
qwen,26,image_marker_or_span,restore,answer_adjacent_text,bridge_text,1.0,24,12,2,2.623698,20,899.0,16,0.611574,17,4.0
qwen,26,image_marker_or_span,restore,low_delta_control,control,1.0,24,12,2,-0.007812,3,-0.833333,7,-0.002016,1,32.0
qwen,26,image_marker_or_span,restore,random_control_1,random_control,1.0,24,12,2,0.027344,6,77.958333,8,0.003957,1,32.0
qwen,26,image_marker_or_span,restore,random_control_2,random_control,1.0,24,12,2,0.265625,11,174.666667,11,0.04808,2,32.0
qwen,26,image_marker_or_span,restore,random_control_3,random_control,1.0,24,12,2,0.101562,8,148.333333,8,0.016038,1,32.0
qwen,26,image_marker_or_span,restore,random_control_4,random_control,1.0,24,12,2,0.041667,6,42.25,5,0.005761,1,32.0
qwen,26,image_marker_or_span,restore,top_hidden_delta,source_like,1.0,24,12,2,0.367188,7,227.375,8,0.051439,1,32.0
qwen,26,image_marker_or_span,restore,top_hidden_delta_plus_answer_adjacent,bridge_combo,1.0,24,12,2,3.442708,20,986.166667,18,0.724361,18,36.0
qwen,26,image_marker_or_span,restore,whole_bucket,upper_bound,1.0,24,12,2,0.451823,13,348.208333,13,0.098849,5,349.416667
