model_family,direction,group_name,n_rows,n_samples,mean_correct_effect_logit,mean_wrong_effect_logit,mean_correct_minus_wrong_logit,ci95_low,ci95_high,correct_stronger_n,correct_positive_n,wrong_positive_n,status
llava,corrupt,activation_matched_plus_answer_adjacent,24,12,0.32959,0.115518,0.214072,0.072126,0.361667,16,18,14,stable_correct_gt_wrong
llava,corrupt,answer_adjacent_text,24,12,0.32959,0.117379,0.212211,0.071687,0.360956,16,19,14,stable_correct_gt_wrong
llava,corrupt,delta_matched_plus_answer_adjacent,24,12,0.361979,0.079344,0.282635,0.101289,0.469004,17,17,16,stable_correct_gt_wrong
llava,corrupt,low_delta_control,24,12,-0.000976,0.001191,-0.002168,-0.008769,0.003966,9,9,15,heterogeneous
llava,corrupt,random_control_1,24,12,-0.053385,-0.067719,0.014333,-0.046569,0.082682,12,10,9,weak_correct_gt_wrong
llava,corrupt,top_hidden_delta_plus_answer_adjacent,24,12,0.555501,0.025532,0.52997,0.171885,0.987908,16,18,15,stable_correct_gt_wrong
llava,restore,activation_matched_plus_answer_adjacent,24,12,0.540527,0.263662,0.276865,-0.038107,0.583867,18,21,17,weak_correct_gt_wrong
llava,restore,answer_adjacent_text,24,12,0.438639,0.193365,0.245275,0.056447,0.437286,18,21,18,stable_correct_gt_wrong
llava,restore,delta_matched_plus_answer_adjacent,24,12,1.490072,0.210658,1.279414,0.557017,1.994522,16,20,14,stable_correct_gt_wrong
llava,restore,low_delta_control,24,12,0.026204,-0.007205,0.033409,-0.007309,0.087354,10,6,12,weak_correct_gt_wrong
llava,restore,random_control_1,24,12,0.256022,-0.032809,0.288831,0.043765,0.611816,15,15,11,stable_correct_gt_wrong
llava,restore,top_hidden_delta_plus_answer_adjacent,24,12,1.636556,0.151321,1.485235,0.661184,2.312505,19,21,15,stable_correct_gt_wrong
qwen,corrupt,activation_matched_plus_answer_adjacent,24,12,2.840495,-0.542185,3.38268,2.395345,4.313395,20,20,8,stable_correct_gt_wrong
qwen,corrupt,answer_adjacent_text,24,12,2.80599,-0.538198,3.344187,2.370066,4.274445,20,20,8,stable_correct_gt_wrong
qwen,corrupt,delta_matched_plus_answer_adjacent,24,12,2.804688,-0.559774,3.364461,2.400798,4.28422,21,20,6,stable_correct_gt_wrong
qwen,corrupt,low_delta_control,24,12,0.0,-0.007568,0.007568,-0.00651,0.021973,10,2,6,weak_correct_gt_wrong
qwen,corrupt,random_control_1,24,12,0.0,-0.016805,0.016805,-0.005941,0.039998,11,5,5,weak_correct_gt_wrong
qwen,corrupt,top_hidden_delta_plus_answer_adjacent,24,12,2.953776,-0.531291,3.485067,2.478394,4.456096,19,20,7,stable_correct_gt_wrong
qwen,restore,activation_matched_plus_answer_adjacent,24,12,3.104167,-0.487305,3.591471,2.602539,4.552083,22,20,7,stable_correct_gt_wrong
qwen,restore,answer_adjacent_text,24,12,2.623698,-0.460612,3.08431,1.989258,4.182943,20,20,7,stable_correct_gt_wrong
qwen,restore,delta_matched_plus_answer_adjacent,24,12,3.036458,-0.519857,3.556315,2.563802,4.514648,22,20,7,stable_correct_gt_wrong
qwen,restore,low_delta_control,24,12,-0.007812,0.004557,-0.01237,-0.026693,0.001302,5,3,9,heterogeneous
qwen,restore,random_control_1,24,12,0.027344,0.000325,0.027018,-0.009766,0.080078,10,6,7,weak_correct_gt_wrong
qwen,restore,top_hidden_delta_plus_answer_adjacent,24,12,3.442708,-0.507324,3.950033,2.830078,5.07194,22,20,7,stable_correct_gt_wrong
