pack,mode,layer,raw_rows,candidate_count,ok_rows,source_rows
primary,full,10,800,20,800,200
primary,full,11,800,20,800,200
primary,full,12,800,20,800,200
primary,full,13,800,20,800,200
primary,full,14,800,20,800,200
primary,full,15,800,20,800,200
primary,full,16,800,20,800,200
primary,full,17,800,20,800,200
primary,smoke,10,80,2,80,20
primary,smoke,11,80,2,80,20
primary,smoke,12,80,2,80,20
primary,smoke,13,80,2,80,20
primary,smoke,14,40,1,40,10
primary,smoke,15,40,1,40,10
primary,smoke,16,40,1,40,10
primary,smoke,17,40,1,40,10
strict,full,10,800,20,800,200
strict,full,11,800,20,800,200
strict,full,12,800,20,800,200
strict,full,13,800,20,800,200
strict,full,14,800,20,800,200
strict,full,15,800,20,800,200
strict,full,16,800,20,800,200
strict,full,17,800,20,800,200
