model_family,mask_condition,position_group,direction,feature_group,n_rows,positive_logit_n,positive_rank_n,mean_logit_effect,ci95_low,ci95_high,effect_status,mean_rank_effect,mean_gap_closure
llava,union_mask,answer_adjacent_text,corrupt,activation_matched_topk,8,3,0,-0.001953,-0.011719,0.007812,not_positive,0.0,-0.000195
llava,union_mask,answer_adjacent_text,corrupt,attribution_matched_mask_insensitive_topk,8,1,0,-0.00293,-0.007812,0.001953,not_positive,0.0,-0.000601
llava,union_mask,answer_adjacent_text,corrupt,drop_matched_topk,8,3,0,-0.003906,-0.025391,0.022461,not_positive,0.0,-0.000308
llava,union_mask,answer_adjacent_text,corrupt,evidence_attribution_topk,8,4,0,-0.001953,-0.020508,0.016602,not_positive,0.0,-0.000457
llava,union_mask,answer_adjacent_text,corrupt,random_active_topk,8,5,0,0.006836,-0.003906,0.014648,weak_or_heterogeneous_positive,0.0,0.001203
llava,union_mask,answer_adjacent_text,restore,activation_matched_topk,8,4,1,-0.010254,-0.026855,0.003906,not_positive,-1.25,-0.001412
llava,union_mask,answer_adjacent_text,restore,attribution_matched_mask_insensitive_topk,8,2,0,0.000977,-0.004395,0.006836,weak_or_heterogeneous_positive,-0.125,0.000181
llava,union_mask,answer_adjacent_text,restore,drop_matched_topk,8,3,3,-0.009277,-0.049316,0.020508,not_positive,-0.875,-0.001142
llava,union_mask,answer_adjacent_text,restore,evidence_attribution_topk,8,5,3,0.02002,0.00293,0.040527,stable_positive,2.25,0.002863
llava,union_mask,answer_adjacent_text,restore,random_active_topk,8,4,0,0.00293,-0.001465,0.007812,weak_or_heterogeneous_positive,-0.125,0.000356
llava,union_mask,top_hidden_delta,corrupt,activation_matched_topk,8,3,1,-0.011719,-0.050781,0.023438,not_positive,0.125,-0.001079
llava,union_mask,top_hidden_delta,corrupt,attribution_matched_mask_insensitive_topk,8,3,0,0.000977,-0.007812,0.009766,weak_or_heterogeneous_positive,0.0,0.000493
llava,union_mask,top_hidden_delta,corrupt,drop_matched_topk,8,3,0,0.055664,-0.03125,0.160156,weak_or_heterogeneous_positive,0.0,0.01225
llava,union_mask,top_hidden_delta,corrupt,evidence_attribution_topk,8,3,1,-0.000977,-0.023438,0.024414,not_positive,0.125,-0.001504
llava,union_mask,top_hidden_delta,corrupt,random_active_topk,8,2,0,0.0,-0.011719,0.015625,not_positive,0.0,0.000586
llava,union_mask,top_hidden_delta,restore,activation_matched_topk,8,2,0,-0.003906,-0.009766,0.000977,not_positive,-0.125,-0.000688
llava,union_mask,top_hidden_delta,restore,attribution_matched_mask_insensitive_topk,8,1,0,0.000977,-0.001465,0.004395,weak_or_heterogeneous_positive,0.0,0.000183
llava,union_mask,top_hidden_delta,restore,drop_matched_topk,8,1,0,-0.002441,-0.006348,0.001465,not_positive,0.0,-0.000456
llava,union_mask,top_hidden_delta,restore,evidence_attribution_topk,8,6,1,0.001953,-0.003418,0.005859,weak_or_heterogeneous_positive,0.125,6.8e-05
llava,union_mask,top_hidden_delta,restore,random_active_topk,8,1,0,0.000488,-0.001465,0.00293,weak_or_heterogeneous_positive,-0.125,0.00012
llava,union_mask,top_hidden_delta_plus_answer_adjacent,corrupt,activation_matched_topk,8,3,1,-0.015625,-0.052734,0.022461,not_positive,0.125,-0.002307
llava,union_mask,top_hidden_delta_plus_answer_adjacent,corrupt,attribution_matched_mask_insensitive_topk,8,5,0,0.016602,0.000977,0.032227,stable_positive,0.0,0.003185
llava,union_mask,top_hidden_delta_plus_answer_adjacent,corrupt,drop_matched_topk,8,4,0,0.058594,-0.02832,0.158203,weak_or_heterogeneous_positive,0.0,0.012102
