model_family,layer,bucket,direction,group_name,group_kind,scale,n_rows,n_samples,n_prompts,mean_effect_logit,positive_effect_logit_n,mean_effect_rank,positive_effect_rank_n,mean_effect_gap_closure,top1_changed_n,mean_position_count
llava,15,image_token_span,corrupt,activation_matched_control,matched_control,1.0,48,24,2,-0.021322,13,-0.0625,7,0.017038,0,64.0
llava,15,image_token_span,corrupt,activation_matched_plus_answer_adjacent,matched_bridge_control,1.0,48,24,2,0.370443,36,5.666667,24,0.381844,15,68.0
llava,15,image_token_span,corrupt,answer_adjacent_text,bridge_text,1.0,48,24,2,0.395833,37,5.333333,24,0.363085,15,4.0
llava,15,image_token_span,corrupt,delta_matched_control,matched_control,1.0,48,24,2,-0.028809,24,-1.3125,10,-0.078851,2,64.0
llava,15,image_token_span,corrupt,delta_matched_plus_answer_adjacent,matched_bridge_control,1.0,48,24,2,0.390137,35,3.8125,25,0.507153,15,68.0
llava,15,image_token_span,corrupt,evidence_region,source_like,1.0,48,24,2,0.160075,30,0.833333,12,0.875482,0,64.0
llava,15,image_token_span,corrupt,evidence_region_plus_answer_adjacent,bridge_combo,1.0,48,24,2,0.585286,39,6.645833,26,1.326347,18,68.0
llava,15,image_token_span,corrupt,low_delta_control,control,1.0,48,24,2,0.006673,20,-0.020833,4,0.053745,2,64.0
llava,15,image_token_span,corrupt,random_control_1,random_control,1.0,48,24,2,-0.026855,26,-0.3125,7,-0.47792,1,64.0
llava,15,image_token_span,corrupt,random_control_2,random_control,1.0,48,24,2,-0.018799,18,-0.770833,6,-0.193641,2,64.0
llava,15,image_token_span,corrupt,random_control_3,random_control,1.0,48,24,2,0.00236,26,0.1875,8,-0.095057,0,64.0
llava,15,image_token_span,corrupt,random_control_4,random_control,1.0,48,24,2,0.007243,23,0.041667,9,-0.057741,1,64.0
llava,15,image_token_span,corrupt,top_hidden_delta,source_like,1.0,48,24,2,0.267985,31,1.354167,19,0.106265,2,64.0
llava,15,image_token_span,corrupt,top_hidden_delta_plus_answer_adjacent,bridge_combo,1.0,48,24,2,0.65389,37,6.8125,29,0.583195,17,68.0
llava,15,image_token_span,corrupt,whole_bucket,upper_bound,1.0,48,24,2,1.074382,34,10.25,29,-0.04574,24,576.0
llava,15,image_token_span,restore,activation_matched_control,matched_control,1.0,48,24,2,0.060872,21,8.4375,19,0.093521,2,64.0
llava,15,image_token_span,restore,activation_matched_plus_answer_adjacent,matched_bridge_control,1.0,48,24,2,0.521525,40,34.041667,33,1.025275,15,68.0
llava,15,image_token_span,restore,answer_adjacent_text,bridge_text,1.0,48,24,2,0.437785,41,27.4375,34,1.012064,15,4.0
llava,15,image_token_span,restore,delta_matched_control,matched_control,1.0,48,24,2,0.662313,36,30.0,31,0.220477,3,64.0
llava,15,image_token_span,restore,delta_matched_plus_answer_adjacent,matched_bridge_control,1.0,48,24,2,1.259806,40,51.229167,35,1.077159,20,68.0
llava,15,image_token_span,restore,evidence_region,source_like,1.0,48,24,2,0.600545,35,22.875,28,1.358465,2,64.0
llava,15,image_token_span,restore,evidence_region_plus_answer_adjacent,bridge_combo,1.0,48,24,2,1.338257,42,44.3125,33,2.341452,15,68.0
llava,15,image_token_span,restore,low_delta_control,control,1.0,48,24,2,0.025716,19,0.354167,11,0.107568,1,64.0
llava,15,image_token_span,restore,random_control_1,random_control,1.0,48,24,2,0.175252,32,17.020833,24,-0.368892,1,64.0
llava,15,image_token_span,restore,random_control_2,random_control,1.0,48,24,2,0.177002,31,15.145833,24,-0.218549,4,64.0
llava,15,image_token_span,restore,random_control_3,random_control,1.0,48,24,2,0.388346,39,19.770833,26,0.142282,1,64.0
llava,15,image_token_span,restore,random_control_4,random_control,1.0,48,24,2,0.268107,31,20.041667,27,0.043075,4,64.0
llava,15,image_token_span,restore,top_hidden_delta,source_like,1.0,48,24,2,0.802897,41,24.104167,30,0.4339,5,64.0
llava,15,image_token_span,restore,top_hidden_delta_plus_answer_adjacent,bridge_combo,1.0,48,24,2,1.446818,41,46.3125,34,1.374012,16,68.0
llava,15,image_token_span,restore,whole_bucket,upper_bound,1.0,48,24,2,1.155233,41,41.145833,35,0.33246,14,576.0
qwen,26,image_marker_or_span,corrupt,activation_matched_control,matched_control,1.0,48,24,2,0.015625,14,-0.020833,1,0.007819,0,32.0
qwen,26,image_marker_or_span,corrupt,activation_matched_plus_answer_adjacent,matched_bridge_control,1.0,48,24,2,2.314779,40,219.666667,28,0.946426,27,36.0
qwen,26,image_marker_or_span,corrupt,answer_adjacent_text,bridge_text,1.0,48,24,2,2.291016,40,209.895833,27,0.940691,28,4.0
qwen,26,image_marker_or_span,corrupt,delta_matched_control,matched_control,1.0,48,24,2,0.014323,17,-0.0625,1,0.001283,0,32.0
qwen,26,image_marker_or_span,corrupt,delta_matched_plus_answer_adjacent,matched_bridge_control,1.0,48,24,2,2.300781,40,190.3125,27,0.946908,29,36.0
qwen,26,image_marker_or_span,corrupt,low_delta_control,control,1.0,48,24,2,0.002604,5,-0.0625,0,0.001305,1,32.0
qwen,26,image_marker_or_span,corrupt,random_control_1,random_control,1.0,48,24,2,0.015625,11,-0.083333,0,0.008453,1,32.0
qwen,26,image_marker_or_span,corrupt,random_control_2,random_control,1.0,48,24,2,0.016927,11,-0.125,1,0.008499,0,32.0
qwen,26,image_marker_or_span,corrupt,random_control_3,random_control,1.0,48,24,2,0.005208,8,0.020833,1,0.005417,0,32.0
qwen,26,image_marker_or_span,corrupt,random_control_4,random_control,1.0,48,24,2,-0.013021,7,-0.145833,0,-4.9e-05,0,32.0
qwen,26,image_marker_or_span,corrupt,top_hidden_delta,source_like,1.0,48,24,2,0.109375,12,0.0,3,0.018743,1,32.0
qwen,26,image_marker_or_span,corrupt,top_hidden_delta_plus_answer_adjacent,bridge_combo,1.0,48,24,2,2.352539,40,211.333333,26,0.941301,29,36.0
qwen,26,image_marker_or_span,corrupt,whole_bucket,upper_bound,1.0,48,24,2,0.425781,33,0.979167,14,0.113109,8,357.0
qwen,26,image_marker_or_span,restore,activation_matched_control,matched_control,1.0,48,24,2,0.057292,21,47.0625,17,0.005648,2,32.0
qwen,26,image_marker_or_span,restore,activation_matched_plus_answer_adjacent,matched_bridge_control,1.0,48,24,2,2.66862,38,524.145833,32,1.06378,34,36.0
qwen,26,image_marker_or_span,restore,answer_adjacent_text,bridge_text,1.0,48,24,2,2.410156,38,481.479167,30,1.045324,34,4.0
qwen,26,image_marker_or_span,restore,delta_matched_control,matched_control,1.0,48,24,2,0.082031,21,-66.0,19,0.016812,4,32.0
qwen,26,image_marker_or_span,restore,delta_matched_plus_answer_adjacent,matched_bridge_control,1.0,48,24,2,2.698568,40,524.0625,30,1.10122,37,36.0
qwen,26,image_marker_or_span,restore,low_delta_control,control,1.0,48,24,2,-0.002604,6,-0.479167,9,0.001006,2,32.0
qwen,26,image_marker_or_span,restore,random_control_1,random_control,1.0,48,24,2,0.030599,14,39.041667,12,0.007309,2,32.0
qwen,26,image_marker_or_span,restore,random_control_2,random_control,1.0,48,24,2,0.160807,22,89.541667,16,0.040288,3,32.0
qwen,26,image_marker_or_span,restore,random_control_3,random_control,1.0,48,24,2,0.07487,18,76.4375,16,0.019058,1,32.0
qwen,26,image_marker_or_span,restore,random_control_4,random_control,1.0,48,24,2,0.034505,14,21.541667,10,0.014788,1,32.0
qwen,26,image_marker_or_span,restore,top_hidden_delta,source_like,1.0,48,24,2,0.199219,17,113.8125,14,0.039668,2,32.0
qwen,26,image_marker_or_span,restore,top_hidden_delta_plus_answer_adjacent,bridge_combo,1.0,48,24,2,2.884766,40,525.229167,32,1.148302,37,36.0
qwen,26,image_marker_or_span,restore,whole_bucket,upper_bound,1.0,48,24,2,0.370443,30,183.375,25,0.103049,8,357.0
